"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P05154",0.904695754744429,15.9345822320933,8.87155408115581,2.32739331171964e-13,3.49108996757946e-10,20.0538653772362
"P05413",1.7526022005647,14.0685074505296,7.90911183842465,1.63024731351015e-11,4.89074194053044e-09,15.9554402741096
"P21695.1",1.669914183871,12.6754114408387,6.9204403411336,1.23287075019547e-09,1.84930612529321e-07,11.7828644261753
"P03952",0.378916942501929,16.1043829411355,6.55532735534767,5.94076045649208e-09,6.08750037375581e-07,10.2676569499465
"P29373",1.20981154928712,13.2351214435683,6.31985711677504,1.62050188329555e-08,1.51922051558958e-06,9.30159251697724
"Q16651.1",0.372476392252041,11.8655748509735,5.95995483887656,7.36503565331872e-08,5.81450183156741e-06,7.84579481573968
"O15527",0.400936720863948,7.00712838082587,5.90196972640836,9.37589736625015e-08,6.69706954732153e-06,7.61391484911581
"P02753",0.471756892522166,14.6197599191364,5.50133283472015,4.8613838084208e-07,2.60431275451114e-05,6.03523689929336
"P14598",1.42606232062344,9.69379864047167,5.44145384284865,6.19464022564289e-07,3.20412425464288e-05,5.80312783391674
"P52789",1.17391861325967,9.79973601062115,5.29789179973029,1.10292894801578e-06,5.33675297426993e-05,5.25111185112182
"O75146",0.220318902607403,8.6051233670807,5.28613388820601,1.155975496773e-06,5.41863514112343e-05,5.20619012809122
"P04070.1",0.502487202884605,8.94193349115908,5.27703292658291,1.19874587417408e-06,5.44884488260947e-05,5.17145022074432
"P06396",0.352943987349018,16.7430826193033,5.23282108514623,1.42962081165012e-06,6.11621061221775e-05,5.00307226442268
"P06276",0.593334974689753,15.6339357177324,5.23142858462686,1.43755956919848e-06,6.11621061221775e-05,4.99777950255621
"P06727",0.611084738989128,15.1164101005336,5.22240369835288,1.49006896389759e-06,6.11621061221775e-05,4.96349241966419
"P14780",1.22046652773354,14.7465514865341,5.02940916016247,3.18914869934849e-06,0.000113898167833875,4.23695839125374
"P00734.1",0.924400637132466,10.2526098692446,4.93507291289091,4.60512651100584e-06,0.000143910203468932,3.88667397864183
"P35968",0.387661374455938,12.6782223802426,4.91051980809358,5.06467452709866e-06,0.000155041056952,3.79604961589283
"P43652",0.34012412702196,15.1239509659803,4.85355953238144,6.30995648905823e-06,0.000185586955560536,3.58669948594454
"P01189.1",0.84853429112546,9.02623023404372,4.83088470173398,6.88480211511094e-06,0.00019485289005031,3.5037110987114
"Q86UN2",0.518151084384293,10.779127684031,4.80061174514936,7.73245283511823e-06,0.000210885077321406,3.39322932098482
"P09429",1.10146354470334,14.8445238548486,4.65192613227102,1.36085640062843e-05,0.000345980440837736,2.85597097745918
"Q8IXJ6",0.349999130095972,12.7700438721877,4.63969119598581,1.42511174063947e-05,0.000356277935159867,2.81216885765216
"Q8IUK8",0.483016787074204,10.7274882102446,4.63080728916796,1.47360708139016e-05,0.000362362397063155,2.78040337347332
"Q15113",0.441059234307103,11.9692112980911,4.54820997208787,2.00838231830897e-05,0.000463472842686686,2.4866848587791
"Q14956",0.438303440435442,12.3344156983858,4.48817340971449,2.51090507478442e-05,0.000562142927190542,2.27506153060706
"P46531",0.359269771520532,13.7957278638541,4.47229122621775,2.66304561528854e-05,0.000587436532784237,2.21934651392799
"Q12860",0.455266364864288,14.7058986039992,4.43565756606963,3.04883196740407e-05,0.000662789558131319,2.09126867630357
"P00533",0.379364269909381,13.7764575957306,4.42980023370671,3.1153370294944e-05,0.000667572220605944,2.07084690170026
"P15907",0.325053048433867,9.55797272901323,4.41111919917263,3.33696724523901e-05,0.000704993079980072,2.00581972127457
"Q86WK6",0.269696372292929,8.08855494077356,4.40347466754813,3.43199877083219e-05,0.000705836977029351,1.97925592181871
"P26992",0.351932512900998,9.4547062982312,4.4029950177663,3.4380480276745e-05,0.000705836977029351,1.97759009573148
"O43586",0.516381863553619,9.06756805632867,4.38566424509747,3.66368141756911e-05,0.000725255324936358,1.9174715354951
"P21583",0.416516011258972,10.5647887883482,4.38485003683867,3.67462697967755e-05,0.000725255324936358,1.91465055593839
"P35443",0.483957856632506,14.2110323953255,4.3535250169673,4.12062435506897e-05,0.000782481908558956,1.80635347620329
"P07451",1.30480692641577,11.2842089203443,4.35095562083469,4.15944616907195e-05,0.000782481908558956,1.7974909018329
"P17213",1.2010298877804,12.3870953788522,4.33083542976276,4.47592493820216e-05,0.000808902097265451,1.72819806908606
"Q04721",0.303548741224519,11.710026152583,4.29922941191752,5.0205931750555e-05,0.0008950880297331,1.61973571819253
"P00915",1.29475817069996,14.7037305538735,4.29600586149276,5.07961557418133e-05,0.0008950880297331,1.6087002109935
"P09874.1",0.498221063106683,8.45231889121715,4.25421391648184,5.90819970632548e-05,0.000984699951054248,1.46608175661594
"P05546",0.300285901451986,12.6694569832383,4.24479690166654,6.11217201782804e-05,0.00100750088205957,1.43406203928833
"P30043",1.05205060799237,16.3726694189,4.22695260292311,6.51747848300446e-05,0.0010478403957747,1.37350645144543
"P10912",0.496999620338139,9.61569678045228,4.22486881027946,6.56646648018812e-05,0.0010478403957747,1.36644514373401
"P08709",0.385261260733124,16.2802250506084,4.20850870198132,6.96361679387371e-05,0.00109951844113795,1.3110800518599
"P58499",0.475664735402644,9.95601143229492,4.16166569642862,8.23309558235049e-05,0.00125664005417565,1.15328848140739
"P21695",1.28583407458801,9.9404322875273,4.16054524118296,8.26603823381312e-05,0.00125664005417565,1.14952759387195
"O15075",0.672172205738306,11.3350074546869,4.15960351159456,8.29382435755929e-05,0.00125664005417565,1.1463670980971
