Uniprot,logFC,AveExpr,t,P.Value,adj.P.Val,B
O60662,2.22756387,9.370259079,12.15923392,1.62458465876719e-19,2.43687698815078e-16,33.88815055
P21695,2.128726129,12.67541144,10.93780928,2.83027265117155e-17,2.12270448837866e-14,28.87656304
P05413,1.803144517,14.06850745,10.0889479,1.11079538185434e-15,5.55397690927168e-13,25.30415876
P07451,2.393710385,11.28420892,9.896485303,2.5723880435609e-15,9.64645516335339e-13,24.48598228
P48788,1.368381768,13.32990234,9.665654171,7.06459640472616e-15,2.11937892141785e-12,23.50140468
P35609,2.385059432,10.98243709,8.668078224,5.71573213476199e-13,1.4289330336905e-10,19.21746155
P06732,1.902871769,10.45003023,8.628216623,6.81615317275854e-13,1.4606042513054e-10,19.04573267
P02144,1.335832472,10.46896227,7.729881581,3.58892805031364e-11,5.98154675052273e-09,15.18049405
P48788,1.523874939,12.56594216,7.581167654,6.89905539778313e-11,1.03485830966747e-08,14.54351439
O43251,0.517027509,8.380871086,7.525265785,8.81719570722184e-11,1.20234486916661e-08,14.3044461
P21695,1.834296858,9.940432288,7.358781712,1.82836514255921e-10,2.28545642819902e-08,13.59386813
P04070,0.554566893,8.941933491,7.220873176,3.33967762325722e-10,3.8534741806814e-08,13.00706653
P13929,1.873841161,10.65248901,7.115424124,5.28756138386716e-10,5.66524433985767e-08,12.55964686
P14598,1.427104748,9.69379864,6.751546693,2.55743388049507e-09,2.25655930631918e-07,11.02580242
P52789,1.192315878,9.799736011,6.671560105,3.60833595071954e-09,3.00694662559961e-07,10.69105969
P15907,0.39081105,9.557972729,6.575554249,5.44783367253383e-09,4.09486305822556e-07,10.29058893
P11142,0.721390765,11.24666544,6.563649671,5.73280828151578e-09,4.09486305822556e-07,10.24103532
P14780,1.265693404,14.74655149,6.466817311,8.67212212539101e-09,5.65573182090718e-07,9.838857406
P06702,1.05640685,12.25225831,6.359142833,1.37158925167196e-08,7.91301491349205e-07,9.393606166
P08246,0.821973586,15.71118936,6.30341738,1.73748694013086e-08,8.98700141446996e-07,9.164027239
P15121,0.956180555,12.94193856,6.276579521,1.94668064338863e-08,9.73340321694316e-07,9.053676237
P22894,0.994833227,10.78332085,5.941273477,7.96134869535087e-08,3.22757379541252e-06,7.687839787
Q5VWP3,0.256966683,7.501668498,5.903346492,9.32239359811347e-08,3.67989220978163e-06,7.534963869
Q99594,0.270723908,9.085696433,5.78231678,1.53917429809419e-07,5.64742594247842e-06,7.049515134
P05060,0.488781179,8.886875381,5.749411276,1.76291244814793e-07,6.2961158862426e-06,6.91818386
P07355,0.653719477,9.659503861,5.735611791,1.86601544728534e-07,6.5093562114605e-06,6.863193225
Q9UKY1,0.146684278,8.612277334,5.70143792,2.14761844288374e-07,7.32142650983094e-06,6.727231231
P17947,1.402574603,10.41034304,5.663955315,2.50473905023024e-07,7.66756852111297e-06,6.578471056
P09429,1.068882552,14.84452385,5.597107523,3.29242661783575e-07,9.68360769951691e-06,6.314138368
O43586,0.522791017,9.067568056,5.505078245,4.78808388256878e-07,1.3551180799723e-05,5.952333752
Q8WWZ8,0.713503925,8.920735221,5.499502638,4.89760203377953e-07,1.3604450093832e-05,5.930494057
P22626,1.019586878,10.31562609,5.490040851,5.08911668323454e-07,1.38794091360942e-05,5.893453508
P00338,0.566673723,15.41414492,5.453150809,5.90866502500467e-07,1.55491184868544e-05,5.749296725
Q05655,0.243365493,6.294833025,5.342041057,9.24236085548905e-07,2.272711685776e-05,5.317656021
P80188,0.42424379,8.22665749,5.332805178,9.59097537763317e-07,2.32039726878222e-05,5.281952682
P37837,0.498358191,13.90937843,5.278500067,1.19174752849564e-06,2.7501866042207e-05,5.072586047
P40925,0.885274467,14.81430265,5.200426481,1.62592829294274e-06,3.53462672378856e-05,4.773301086
P50452,0.550665159,10.26570233,5.169104272,1.84075206663256e-06,3.86484760416481e-05,4.653814718
P51946,0.590924272,8.770605951,5.167720231,1.8508600857668e-06,3.86484760416481e-05,4.648542773
P17213,1.142164912,12.38709538,5.106433258,2.35731744210439e-06,4.71463488420878e-05,4.415768086
P00734,0.756390933,10.25260987,5.006689184,3.48518976050812e-06,6.70228800097715e-05,4.039808692
P51911,0.724609817,11.31752836,4.939157526,4.53273524990639e-06,8.39395416649331e-05,3.787355594
P53999,0.987846805,9.002471498,4.895845127,5.36039760919722e-06,9.68746555879017e-05,3.626354992
P02787,0.211703817,17.90227732,4.858028847,6.20230896601574e-06,0.000108943,3.486380147
P20711,0.171703054,8.134165684,4.856204244,6.24603802246535e-06,0.000108943,3.479640679
O15527,0.261160946,7.007128381,4.766508323,8.80941202732674e-06,0.000147025,3.149972699
P05231,0.758403213,9.171201259,4.715174161,1.07110173154539e-05,0.000172758,2.962771328
P78556,0.211393136,7.585041474,4.652543465,1.35769008390926e-05,0.000210493,2.735863893
P20827,0.546970173,11.55991604,4.651971643,1.36062273172314e-05,0.000210493,2.733799861
Q96MS0,0.182513595,9.259006555,4.601455549,1.64551021363435e-05,0.00024932,2.552012714
