,logFC,AveExpr,t,P.Value,adj.P.Val,B
P0DJI8,3.968726525,13.82535517,10.6806857,8.54709494965726e-17,1.28206424244859e-13,27.82065284
P35609,2.986142465,10.98243709,10.45835893,2.23293003939536e-16,1.67469752954652e-13,26.88309884
P48788,2.142490939,12.56594216,10.27153075,5.0199065443025e-16,2.50995327215125e-13,26.09195404
Q99941,0.865596579,10.90593132,9.866658225,2.93056333102742e-15,1.09896124913528e-12,24.36820227
P18428,1.04226398,15.39063758,8.920105221,1.87849524617547e-13,3.52217858657901e-11,20.30119243
P48788,1.269099177,13.32990234,8.638710862,6.50739934157394e-13,1.01794667130772e-10,19.08639109
P14210,1.445776111,10.51392452,8.629209943,6.78631114205145e-13,1.01794667130772e-10,19.04535883
Q08830,1.760147156,15.90716528,8.549957269,9.63116331172177e-13,1.31334045159842e-10,18.70306965
P21741,1.947744542,10.69616554,8.095686062,7.16034924600424e-12,8.9504365575053e-10,16.74194415
P09871,0.358180402,13.49715179,8.039405345,9.17846422370863e-12,1.05905356427407e-09,16.49926416
P06732,1.826809788,10.45003023,7.982414026,1.18012039385981e-11,1.26441470770694e-09,16.25362751
Q06033,0.599559935,10.49197329,7.489878874,1.02973674178572e-10,9.08591242752103e-09,14.13734581
P01588,1.194623744,10.06174519,7.339227671,1.99160732281078e-10,1.65967276900898e-08,13.49330689
Q8N474,2.052909254,12.05830007,7.308033676,2.28257471106466e-10,1.80203266663e-08,13.36019693
P01031,0.494236824,12.93105333,6.745919589,2.6202006589e-09,1.965150494175e-07,10.9798346
Q92743,0.623020811,14.29609336,6.691067428,3.31804103313237e-09,2.26230070440843e-07,10.74976759
P02748,0.480602094,16.38978877,6.591778279,5.08195208445068e-09,3.17622005278168e-07,10.33450763
P24158,0.628545432,11.08132056,6.518436783,6.95633362611988e-09,4.17380017567193e-07,10.02880559
Q9H4F8,1.02978872,14.2562105,6.244788621,2.22692289832141e-08,1.28476321057005e-06,8.896748728
Q01638,1.233364899,12.10243295,6.10101009,4.08151552497582e-08,2.04075776248791e-06,8.307933476
Q13790,0.872362744,12.55870928,6.061336422,4.82068175911964e-08,2.25969457458733e-06,8.146250193
Q96HD1,0.537348123,11.20939749,6.031468513,5.46304908043976e-08,2.48320412747262e-06,8.02476374
O95631,0.792645989,8.750825453,5.991227482,6.46396922938771e-08,2.72454485424821e-06,7.861410877
P80303,0.155748681,9.840572497,5.968379823,7.11074908839693e-08,2.88273611691767e-06,7.768833262
Q92994,0.404923314,8.524696616,5.925855247,8.48920546061827e-08,3.26507902331472e-06,7.596858407
O60662,1.11160032,9.370259079,5.847283012,1.17647744357091e-07,4.20170515561039e-06,7.280270065
P01019,0.378984578,13.19531817,5.670544249,2.43798057382422e-07,7.94993665377462e-06,6.573973076
P10451,0.474292268,9.38217705,5.450768399,5.9658395194672e-07,1.82627740391853e-05,5.70787032
Q96MK3,0.531108161,10.45067823,5.403351573,7.22376063653797e-07,2.01031135489658e-05,5.522907609
P13671,0.239886447,16.14453102,5.402892852,7.23712087762769e-07,2.01031135489658e-05,5.521121671
P14555,1.002935844,10.95734494,5.209571205,1.56798271171079e-06,4.19995369208247e-05,4.774528084
P02741,1.35319199,15.43818245,5.173616968,1.80816883081643e-06,4.67629870038733e-05,4.637056118
O60568,0.576570748,11.58278263,5.151590133,1.97274686961581e-06,4.93186717403953e-05,4.553057647
P13929,1.391206736,10.65248901,5.090835827,2.50649467683649e-06,5.87459689883552e-05,4.322261307
P09936,0.434062143,9.265752344,5.073875579,2.67919490811683e-06,6.18275748026962e-05,4.258067849
P80098,0.274646272,8.068782688,4.983814327,3.81033794485206e-06,8.53060733922103e-05,3.918957485
P05231,0.828747359,9.171201259,4.965341626,4.09438459388072e-06,8.90083607365374e-05,3.849775286
P08697,0.199975784,13.10543772,4.952820674,4.29857037142537e-06,9.21122222448293e-05,3.802956522
P09603,0.691985359,6.742388958,4.935634458,4.59510774792199e-06,9.70797411532815e-05,3.738790574
Q01344,0.47734154,10.18416464,4.880709583,5.68305014283289e-06,0.000116854,3.534488306
Q86U17,0.488557167,13.83883712,4.864793937,6.04276594659628e-06,0.000122488,3.475507317
P02144,0.830977259,10.46896227,4.633822418,1.4569709715638e-05,0.000251202,2.631129699
Q8NBM8,0.330348314,10.35215322,4.50563973,2.35332166264922e-05,0.00038791,2.172316154
Q9BXY4,0.357545242,9.342401936,4.411684738,3.33003900544868e-05,0.000520613,1.840707032
Q01344,0.671656093,10.24488679,4.369449297,3.88772370283853e-05,0.000583159,1.692973054
