geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-1650814	-0.6761134130771368	-1.7012279197324165	0.009090909074380165	0.2703014461090304	12	./Project_GSEAd12_d35_GSEA/R_HSA_1650814.png	7	649;80781;5118;1281;1277;26577;1300
R-HSA-216083	Integrin cell surface interactions	http://reactome.org/PathwayBrowser/#/R-HSA-216083	-0.5974518512940181	-1.7463840847767549	0.0018621973894558709	0.329554203079484	21	./Project_GSEAd12_d35_GSEA/R_HSA_216083.png	11	3693;2335;960;3684;7412;80781;3791;3384;1281;1277;1300
R-HSA-186797	Signaling by PDGF	http://reactome.org/PathwayBrowser/#/R-HSA-186797	-0.5640506046283572	-1.7089745231276439	0.005076142123390623	0.33443958940213625	25	./Project_GSEAd12_d35_GSEA/R_HSA_186797.png	9	6776;56034;6777;5154;5155;1281;5340;7060;7059
R-HSA-71387	Metabolism of carbohydrates	http://reactome.org/PathwayBrowser/#/R-HSA-71387	0.5339816290411641	1.8513617882025517	0	0.4314703525641026	41	./Project_GSEAd12_d35_GSEA/R_HSA_71387.png	14	2027;6888;231;10082;4190;1634;7360;3099;2990;2799;7086;226;7167;10327
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168142	0.543887482945403	1.4718598817958863	0.04640371218931853	0.4606965083527584	15	./Project_GSEAd12_d35_GSEA/R_HSA_168142.png	4	6288;4208;6283;3146
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168176	0.543887482945403	1.4718598817958863	0.04640371218931853	0.4606965083527584	15	./Project_GSEAd12_d35_GSEA/R_HSA_168176.png	4	6288;4208;6283;3146
R-HSA-975871	MyD88 cascade initiated on plasma membrane	http://reactome.org/PathwayBrowser/#/R-HSA-975871	0.543887482945403	1.4718598817958863	0.04640371218931853	0.4606965083527584	15	./Project_GSEAd12_d35_GSEA/R_HSA_975871.png	4	6288;4208;6283;3146
R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	http://reactome.org/PathwayBrowser/#/R-HSA-166058	0.48660467181867506	1.4077675307711357	0.07415730320414089	0.4801366631054131	19	./Project_GSEAd12_d35_GSEA/R_HSA_166058.png	7	6288;4208;6283;3146;3551;7097;466
R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168179	0.48660467181867506	1.4077675307711357	0.07415730320414089	0.4801366631054131	19	./Project_GSEAd12_d35_GSEA/R_HSA_168179.png	7	6288;4208;6283;3146;3551;7097;466
R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168188	0.48660467181867506	1.4077675307711357	0.07415730320414089	0.4801366631054131	19	./Project_GSEAd12_d35_GSEA/R_HSA_168188.png	7	6288;4208;6283;3146;3551;7097;466
R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-181438	0.48660467181867506	1.4077675307711357	0.07415730320414089	0.4801366631054131	19	./Project_GSEAd12_d35_GSEA/R_HSA_181438.png	7	6288;4208;6283;3146;3551;7097;466
R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168181	0.4802770080851807	1.379358841741954	0.08108108089846604	0.48209344474969473	18	./Project_GSEAd12_d35_GSEA/R_HSA_168181.png	4	6288;4208;6283;3146
R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	http://reactome.org/PathwayBrowser/#/R-HSA-975138	0.4802770080851807	1.379358841741954	0.08108108089846604	0.48209344474969473	18	./Project_GSEAd12_d35_GSEA/R_HSA_975138.png	4	6288;4208;6283;3146
