userId	geneSymbol	geneName	entrezgene	score	gLink
100	ADA	adenosine deaminase	100	-2.94505026872685	https://www.ncbi.nlm.nih.gov/gene/?term=100
10000	AKT3	AKT serine/threonine kinase 3	10000	0.244379075253488	https://www.ncbi.nlm.nih.gov/gene/?term=10000
100129128	KHDC1L	KH domain containing 1 like	100129128	-3.74346521941533	https://www.ncbi.nlm.nih.gov/gene/?term=100129128
100130519	TMEM221	transmembrane protein 221	100130519	-3.67597300829808	https://www.ncbi.nlm.nih.gov/gene/?term=100130519
10019	SH2B3	SH2B adaptor protein 3	10019	-0.784796483447162	https://www.ncbi.nlm.nih.gov/gene/?term=10019
1003	CDH5	cadherin 5	1003	-3.94084031193189	https://www.ncbi.nlm.nih.gov/gene/?term=1003
1005	CDH7	cadherin 7	1005	-0.294163576903049	https://www.ncbi.nlm.nih.gov/gene/?term=1005
10059	DNM1L	dynamin 1 like	10059	-3.54850482995503	https://www.ncbi.nlm.nih.gov/gene/?term=10059
10068	IL18BP	interleukin 18 binding protein	10068	-0.195447270549511	https://www.ncbi.nlm.nih.gov/gene/?term=10068
10082	GPC6	glypican 6	10082	4.86296101859441	https://www.ncbi.nlm.nih.gov/gene/?term=10082
10095	ARPC1B	actin related protein 2/3 complex subunit 1B	10095	-0.139442825642492	https://www.ncbi.nlm.nih.gov/gene/?term=10095
10105	PPIF	peptidylprolyl isomerase F	10105	-0.61354661167774	https://www.ncbi.nlm.nih.gov/gene/?term=10105
1012	CDH13	cadherin 13	1012	0.0247400573386088	https://www.ncbi.nlm.nih.gov/gene/?term=1012
10127	ZNF263	zinc finger protein 263	10127	0.0818010514198344	https://www.ncbi.nlm.nih.gov/gene/?term=10127
10135	NAMPT	nicotinamide phosphoribosyltransferase	10135	1.31323695202667	https://www.ncbi.nlm.nih.gov/gene/?term=10135
10174	SORBS3	sorbin and SH3 domain containing 3	10174	2.03985331858828	https://www.ncbi.nlm.nih.gov/gene/?term=10174
10190	TXNDC9	thioredoxin domain containing 9	10190	0.0558177659378514	https://www.ncbi.nlm.nih.gov/gene/?term=10190
10231	RCAN2	regulator of calcineurin 2	10231	-2.14793638974458	https://www.ncbi.nlm.nih.gov/gene/?term=10231
1024	CDK8	cyclin dependent kinase 8	1024	-0.771762209654951	https://www.ncbi.nlm.nih.gov/gene/?term=1024
10241	CALCOCO2	calcium binding and coiled-coil domain 2	10241	-0.746745214329112	https://www.ncbi.nlm.nih.gov/gene/?term=10241
