geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId
R-HSA-373760	L1CAM interactions	http://reactome.org/PathwayBrowser/#/R-HSA-373760	0.8010489295433068	2.491199875262839	0	0	19	./Project_GSEAd1d2_GSEA/R_HSA_373760.png	9	1272;1956;4684;4897;3312;27255;214;2048;2260
R-HSA-140837	Intrinsic Pathway of Fibrin Clot Formation	http://reactome.org/PathwayBrowser/#/R-HSA-140837	0.7281750643245163	2.0416162869616765	0	0.011810288488469798	15	./Project_GSEAd1d2_GSEA/R_HSA_140837.png	9	5104;3818;5624;2147;3053;2;2815;3827;2159
R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	http://reactome.org/PathwayBrowser/#/R-HSA-140877	0.6073457068479763	1.8833411566709581	0.0019011406807963105	0.0862508947188249	21	./Project_GSEAd1d2_GSEA/R_HSA_140877.png	10	5104;3818;5624;2147;3053;2155;2;2815;3827;2159
R-HSA-977606	Regulation of Complement cascade	http://reactome.org/PathwayBrowser/#/R-HSA-977606	-0.5841460202959188	-1.865364797262126	0	0.13147779292029213	23	./Project_GSEAd1d2_GSEA/R_HSA_977606.png	8	7448;717;715;718;727;729;716;735
R-HSA-166658	Complement cascade	http://reactome.org/PathwayBrowser/#/R-HSA-166658	-0.5305252065469545	-1.876828859476297	0	0.17932959429709613	31	./Project_GSEAd1d2_GSEA/R_HSA_166658.png	9	1401;7448;717;715;718;727;729;716;735
R-HSA-166663	Initial triggering of complement	http://reactome.org/PathwayBrowser/#/R-HSA-166663	-0.6787788907355065	-1.9217445337583265	0.002173913038752363	0.20272041094454343	13	./Project_GSEAd1d2_GSEA/R_HSA_166663.png	7	2220;629;1401;717;715;718;716
R-HSA-5669034	TNFs bind their physiological receptors	http://reactome.org/PathwayBrowser/#/R-HSA-5669034	-0.587530720123543	-1.712619240837883	0.006423982855623163	0.34856903239333265	17	./Project_GSEAd1d2_GSEA/R_HSA_5669034.png	8	8600;7132;8995;8764;7133;8784;8740;970
R-HSA-451927	Interleukin-2 family signaling	http://reactome.org/PathwayBrowser/#/R-HSA-451927	-0.5127887362373278	-1.725423754658013	0.007874015732531466	0.3831966139008282	25	./Project_GSEAd1d2_GSEA/R_HSA_451927.png	12	3965;3600;2185;6774;3558;2885;59067;3717;3567;6776;3568;6777
R-HSA-1592389	Activation of Matrix Metalloproteinases	http://reactome.org/PathwayBrowser/#/R-HSA-1592389	0.5736066968913158	1.670153371790102	0.012635379038564298	0.731701054990197	16	./Project_GSEAd1d2_GSEA/R_HSA_1592389.png	5	3818;4318;4317;5340;1991
R-HSA-3371556	Cellular response to heat stress	http://reactome.org/PathwayBrowser/#/R-HSA-3371556	-0.6026186931646971	-1.5930156344344468	0.03728070167263004	0.7370400461264283	11	./Project_GSEAd1d2_GSEA/R_HSA_3371556.png	3	3305;1387;23411
