userId	geneSymbol	geneName	entrezgene	score	gLink
100	ADA	adenosine deaminase	100	-3.76360637566413	https://www.ncbi.nlm.nih.gov/gene/?term=100
10000	AKT3	AKT serine/threonine kinase 3	10000	-0.648297416499451	https://www.ncbi.nlm.nih.gov/gene/?term=10000
100129128	KHDC1L	KH domain containing 1 like	100129128	-4.26417631935177	https://www.ncbi.nlm.nih.gov/gene/?term=100129128
100130519	TMEM221	transmembrane protein 221	100130519	-3.63876066767403	https://www.ncbi.nlm.nih.gov/gene/?term=100130519
10019	SH2B3	SH2B adaptor protein 3	10019	-0.869749546312168	https://www.ncbi.nlm.nih.gov/gene/?term=10019
1003	CDH5	cadherin 5	1003	3.64419816964809	https://www.ncbi.nlm.nih.gov/gene/?term=1003
1005	CDH7	cadherin 7	1005	-0.297234898179472	https://www.ncbi.nlm.nih.gov/gene/?term=1005
10059	DNM1L	dynamin 1 like	10059	-5.00739800083219	https://www.ncbi.nlm.nih.gov/gene/?term=10059
10068	IL18BP	interleukin 18 binding protein	10068	-1.7178964937874	https://www.ncbi.nlm.nih.gov/gene/?term=10068
10082	GPC6	glypican 6	10082	1.06563238123844	https://www.ncbi.nlm.nih.gov/gene/?term=10082
10095	ARPC1B	actin related protein 2/3 complex subunit 1B	10095	-1.19017632106005	https://www.ncbi.nlm.nih.gov/gene/?term=10095
10105	PPIF	peptidylprolyl isomerase F	10105	-1.52509852775476	https://www.ncbi.nlm.nih.gov/gene/?term=10105
1012	CDH13	cadherin 13	1012	0.773799139577016	https://www.ncbi.nlm.nih.gov/gene/?term=1012
10127	ZNF263	zinc finger protein 263	10127	1.02923481975686	https://www.ncbi.nlm.nih.gov/gene/?term=10127
10135	NAMPT	nicotinamide phosphoribosyltransferase	10135	1.64733109329301	https://www.ncbi.nlm.nih.gov/gene/?term=10135
10174	SORBS3	sorbin and SH3 domain containing 3	10174	2.74473625226473	https://www.ncbi.nlm.nih.gov/gene/?term=10174
10190	TXNDC9	thioredoxin domain containing 9	10190	-1.80520887590004	https://www.ncbi.nlm.nih.gov/gene/?term=10190
10231	RCAN2	regulator of calcineurin 2	10231	0.359508841715578	https://www.ncbi.nlm.nih.gov/gene/?term=10231
1024	CDK8	cyclin dependent kinase 8	1024	-2.93904196206644	https://www.ncbi.nlm.nih.gov/gene/?term=1024
10241	CALCOCO2	calcium binding and coiled-coil domain 2	10241	-2.4608629214613	https://www.ncbi.nlm.nih.gov/gene/?term=10241
10244	RABEPK	Rab9 effector protein with kelch motifs	10244	-1.98247752617189	https://www.ncbi.nlm.nih.gov/gene/?term=10244
1027	CDKN1B	cyclin dependent kinase inhibitor 1B	1027	0.797199468551886	https://www.ncbi.nlm.nih.gov/gene/?term=1027
10298	PAK4	p21 (RAC1) activated kinase 4	10298	-1.37521196870243	https://www.ncbi.nlm.nih.gov/gene/?term=10298
10321	CRISP3	cysteine rich secretory protein 3	10321	2.36143610204127	https://www.ncbi.nlm.nih.gov/gene/?term=10321
10324	KLHL41	kelch like family member 41	10324	3.93047524353941	https://www.ncbi.nlm.nih.gov/gene/?term=10324
10327	AKR1A1	aldo-keto reductase family 1 member A1	10327	2.22297111784754	https://www.ncbi.nlm.nih.gov/gene/?term=10327
10352	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	10352	-2.27604926097159	https://www.ncbi.nlm.nih.gov/gene/?term=10352
10417	SPON2	spondin 2	10417	-4.00244176715979	https://www.ncbi.nlm.nih.gov/gene/?term=10417
10424	PGRMC2	progesterone receptor membrane component 2	10424	-2.89302838109231	https://www.ncbi.nlm.nih.gov/gene/?term=10424
