Protein,comp1,comp2
myeloid_cells,0,0
monocytes,0,0
nonclassical_monocytes,0,0
neutrophils,0,0
basophils,0,0
m_mdscs,0,0
pmn_mdscs,0,0
nk_cells,0,0
b_cells,0,0
t_cells,0.031733402870950174,0
helper_t_cells,0,0
cytotoxic_t_cells,0,0
t_regs,0,0
nkt_cells,0,0
plasmacytoid_dcs,0,0
P11473,0,0.018394886435329855
P00491,0,0
P19878,0,0
Q08050,0,0
Q9NW38,0,0
P35520,0,0
P09104,0,0
Q8N2W9,0,0
Q13651,0,0
P10914,0,0
P40763,0,0
P05412,0,0
P84022,0,0
Q15796,0,0
P29460,0,0
P16234,0,0
P29459,0,0
Q9Y5C1,0,0
P16860,0,0
Q9H6B4,0,0
P09238,0,0
P04843,0,0
O15173,0,0
P32927,0,0
P09874,0,0
O00238,0,0
Q8N6K0,0,0
Q9HC56,0,0
Q6UX71,0,0
O14967,0,0
O60568,0,0
Q1W4C9,0,0
Q9BUP3,0,0
Q8TD46,0,0
Q9UJJ9,0,0
Q12846,0,0
P07988,0,0
O95168,0,0
P12821,0,0
P30740,0,0
P09603,0,0
P48058,0,0
Q8N6G5,0,0
P50454,0,0
Q9P109,0,0
O15031,0,0
O75871,0,0
Q13018,0,0
P05387,0,0
P01236,0,0
P02818,0,0
P05113,0,0
P21695,-0.13491473194054276,0
Q9Y5N5,0,0
O00206,0,0
P02452,0.04749645506968432,0
Q14494,0,0
Q9NQ60,0,0
Q9NT68,0,0
Q92922,0,0
Q96TA2,0,0
P20823,0,0
Q15813,0,0
P51580,0,0
Q7Z5B4,0,0
O75460,0,0
Q15113,0,0
P10746,0,0
Q9NZR2,0,0
Q9UBS5,0,0
Q99259,0,0
P28906,0,0
P49902,0,0
Q6UXK5,0,0
Q99523,0,0
Q9Y3Z3,0,0
Q9H0M0,0,0
P15918,0,0
P49959,0,0
P42331,0,0
Q9NPI8,0,0
P51451,0,0
P37837,-0.08354460717483204,0
Q9H9Q4,0,0
Q9NQ66,0,0
Q9GZV4,0,0
P54819,0,0
Q99941,-0.03155296368227313,0.15446884337091651
Q03426,0,0
Q14289,0,0
P16930,0,0
O00151,0,0
P25686,0,0
Q8IUC4,0,0
O14543,0,0
O43251,-0.15704062008166578,0
Q9Y4C8,0,0
O14791,0,0
P13987,0,0
P08397,0,0
Q9UP52,0,0
O43524,0,0
Q92576,0,0
Q92956,0,0
Q8N6T3,0,0
P68106,0,0
Q8IWI9,0,0
P20701,0,0
P29373,0,-0.20617823285620906
O60674,0,0
Q92508,0,0
P01133,0,0
P34931,0,0
Q13148,0,0
Q16828,0,0
P42224,0,0
Q96B67,0,0
Q13790,0,0.03250938040502755
O15533,0,0
O95786,0,0
O43316,0,0
Q9H8S9,0,0
Q9H074,0,0
Q9HB71,0,0
Q969Q4,0,0
Q9NXV2,0,0
Q12830,0,0
Q9BRJ7,0,0
O75347,0,0
P29536,0,0
Q9Y3E7,0,0
Q8N668,0,0
Q86U86,0,0
Q13137,0,0
O75771,0,0
Q8TF42,0,0
Q13310,0,0
P20618,0,0
Q9Y6E0,0,0
Q9NR48,0,0
P08754,0,0
Q07866,0,0
Q9NTK5,0,0
Q9BY11,0,0
Q9NSB8,0,0
Q9UK32,0,0
O15143,0,0
Q8TEK3,0,0
P50990,0,0
Q9NRR5,0,0
O00287,0,0
O75534,0,0
Q9UKY1,0,0
Q9BYV9,0,0
Q86XI6,0,0
O15347,0,0
O95989,0,0
Q2Y0W8,0,0
Q9NZQ0,0,0
P14621,0,0
Q8NDI1,0,0
Q15849,0,0
Q86VK4,0,0
Q92974,0,0
Q9NZR1,0,0
Q99594,0,0
O75521,0,0
Q07869,0,0
O60504,0,0
Q9NUP9,0,0.03377699862132453
Q99759,0,0
P46783,0,0.07114364945918542
Q13976,0,0
P43220,0,0
Q16665,0,0
P06703,0,0
Q92843,0,0
O43915,0,0
Q9BQB4,0,0
P0DML2,0,0
P98172,0,0
Q7Z3B1,0,0
P41182,0,0
Q12841,0,0
P10451,0,0.09271118937197187
P01130,0,0
P52789,0,-0.045880585620073494
P19367,0,0
Q00987,0,0
P56704,0,0
Q8N8Q1,0,0
Q9H2X0,0,0
Q03431,0,0
A8MVW0,0,0
Q01581,0,0
Q8TBE7,0,0
P55036,0,0
O00231,0,0
P09211,0,0
O00194,0,0
Q7Z6M1,0,0
P78347,0,0
Q9Y6K8,0,0
Q92793,0,5.112338700551267e-4
O94973,0,0
O60763,0,0
P41182.1,0,0
Q9BQ69,0.020048931337781288,0
O75116,0,0
Q96T60,0,0
Q9NRA1,0,0
P05112,0,0
Q06190,0,0
P22607,0,0
P08246,-0.12097263631482179,0
P07333,0,0
Q01344,0,0
P21695.1,-0.1531764076266395,-0.060547177163895974
P42701,0,0
Q14515,0,0
O60259,0,0
P00734,0,0
Q15485,0,0
Q16552,0,0
O96013,0,0
P24158,-0.03739137494084839,0
P02748,0,0.2817670840375099
P22301,0,0
P53634,0,0
P29460.1,0,0
Q9GZX6,0,0
P80075,0,0
Q16851,0,0
O95363,0,0
O75899,0,0
O43432,0,0
Q9H4G0,0,0
P21815,0,0
Q8N474,0,0.17966180909335927
P23560,0,0
Q99958,0,0
P01215,0,0
Q15080,0,0
Q86UL8,0,0
P02790,-0.007664041761260774,0
P35225,0,0
Q92484,0,0
P24592,0,0
P49771,0,0
Q99075,0,0
P26718,0,0
P01374,0,0
P26992,0,-0.003319244994016804
P01137,0,0
P35318,0,0
Q9H7M9,0,0
P01574,0,0
P52799,0,0
Q9UM44,0,0
P05161,0,0
O95396,0,0.01652442143711493
O95644,0,0
P35243,0,0
Q9NY15,0,0
P55854,0,0
P22888,0,0
Q9UKS6,0,0
P35236,0,0
Q15828,0,0
P20160,0,0
P02788,0,0
P13598,0,0
Q9Y696,0,0
P02792,0,0
O60242,0,0
Q8N8U9,0,0
Q16832,0,0
P12104,0,0
P08637,0,0
P22466,0,0
P09488,0,0
P00338,-0.03845046999122325,0
P36952,0,0
Q99519,0,0
P58215,0,0
P00480,0,0
Q13519,0,0
P48594,0,0
Q02297,0,0.07919020242963004
P27487,0,0
Q13526,0,0
O75882,0,0
Q16651,0,0
