Protein,comp1,comp2,comp3
P11473,0,0.020751382587553782,0
P00491,0,0,0
P19878,0,0,0
Q08050,0,0,0
Q9NW38,0,0,0
P35520,0,0,0
P09104,0,0,0
Q8N2W9,0,0,0
Q13651,0,0,0
P10914,0,0,0
P40763,0,0,0
P05412,0,0,0
P84022,0,0,0
Q15796,0,0,0
P29460,0,0,0
P16234,0,0,0
P29459,0,0,0
Q9Y5C1,0,0,-0.0964748223007234
P16860,0,0,0
Q9H6B4,0,0,0
P09238,0,0,-0.22498407120252809
P04843,0,0,0
O15173,0,0,0
P32927,0,0,-0.014979504612281494
P09874,0,0,0.002535737857635758
O00238,0,0,0
Q8N6K0,0,0,-0.02642794564669631
Q9HC56,0,0,0
Q6UX71,0,0,0
O14967,0,0,0
O60568,0,0,0
Q1W4C9,0,0,0
Q9BUP3,0,0,0
Q8TD46,0,0,0
Q9UJJ9,0,0,0
Q12846,0,0,0
P07988,0,0,0
O95168,0,0,0
P12821,0,0,-0.0328807190277923
P30740,0,0,0
P09603,0,0,0
P48058,0,0,0
Q8N6G5,0,0,0
P50454,0,0,0
Q9P109,0,0,0
O15031,0,0,0
O75871,0,0,0
Q13018,0,0,0
P05387,0,0,0
P01236,0,0,0
P02818,0,0,0
P05113,0,0,0
P21695,-0.13419989868295365,0,0
Q9Y5N5,0,0,0
O00206,0,0,0
P02452,0.04955415151293507,0,0
Q14494,0,0,0
Q9NQ60,0,0,0
Q9NT68,0,0,0
Q92922,0,0,0
Q96TA2,0,0,0
P20823,0,0,0
Q15813,0,0,0.031889621958833984
P51580,0,0,0
Q7Z5B4,0,0,0
O75460,0,0,0
Q15113,0,0,0
P10746,0,0,0
Q9NZR2,0,0,0
Q9UBS5,0,0,0
Q99259,0,0,0
P28906,0,0,0
P49902,0,0,0
Q6UXK5,0,0,0
Q99523,0,0,0
Q9Y3Z3,0,0,0
Q9H0M0,0,0,0
P15918,0,0,-0.0036544405567684015
P49959,0,0,0
P42331,0,0,0
Q9NPI8,0,0,0
P51451,0,0,0
P37837,-0.08428485163355859,0,0
Q9H9Q4,0,0,0
Q9NQ66,0,0,0
Q9GZV4,0,0,0
P54819,0,0,0
Q99941,-0.034983718724831345,0.1522989825836857,0
Q03426,0,0,0
Q14289,0,0,0
P16930,0,0,0
O00151,0,0,0
P25686,0,0,0
Q8IUC4,0,0,0
O14543,0,0,0
O43251,-0.15643590636903598,0,0
Q9Y4C8,0,0,0
O14791,0,0,0
P13987,0,0,0
P08397,0,0,0
Q9UP52,0,0,0
O43524,0,0,0
Q92576,0,0,0
Q92956,0,0,0
Q8N6T3,0,0,0
P68106,0,0,0
Q8IWI9,0,0,0
P20701,0,0,0
P29373,0,-0.20580509544458137,0
O60674,0,0,0
Q92508,0,0,0
P01133,0,0,-0.049082917242052736
P34931,0,0,0
Q13148,0,0,0
Q16828,0,0,0
P42224,0,0,0
Q96B67,0,0,0
Q13790,0,0.03163105754918026,0
O15533,0,0,0
O95786,0,0,0
O43316,0,0,0
Q9H8S9,0,0,0
Q9H074,0,0,0
Q9HB71,0,0,0
Q969Q4,0,0,0
Q9NXV2,0,0,0
Q12830,0,0,0
Q9BRJ7,0,0,0
O75347,0,0,0
P29536,0,0,0
Q9Y3E7,0,0,0
Q8N668,0,0,0
Q86U86,0,0,0
Q13137,0,0,0
O75771,0,0,0
Q8TF42,0,0,0
Q13310,0,0,0
P20618,0,0,0
Q9Y6E0,0,0,0
Q9NR48,0,0,0
P08754,0,0,0
