protein,component 2
P05154,-0.33015316
P29373,-0.206178233
Q16651,-0.18714959
P03952,-0.163888636
P05413,-0.155026533
P06727,-0.10792874
O75146,-0.097217601
O15527,-0.089156362
P00734,-0.083835863
P02753,-0.083307395
P06396,-0.081473893
P06276,-0.072930174
P35968,-0.06291747
P21695,-0.060547177
P14598,-0.049946994
P52789,-0.045880586
P01189,-0.044074789
P04070,-0.04288442
Q86WK6,-0.030602581
P46531,-0.024761535
P58499,-0.017324802
Q86UN2,-0.014469297
P00533,-0.009515522
Q9P2A4,-0.007826521
P43652,-0.00695682
P00915,-0.005169403
P08709,-0.004999037
Q12860,-0.003664333
P26992,-0.003319245
Q8IUK8,-0.003205273
Q5T7V8,0.000211457
Q92793,0.000511234
P08697,0.002940745
Q4G0M1,0.009211025
O95396,0.016524421
O00429,0.01806176
P11473,0.018394886
P04004,0.022056631
P02741,0.024967631
Q96HD1,0.028514477
P80098,0.02945533
Q13790,0.03250938
Q13427,0.032548291
Q9NUP9,0.033776999
P06681,0.038339017
P01031,0.040282627
O00469,0.044471544
P80303,0.045068874
P51692,0.05622102
P00450,0.058352511
P00736,0.064459239
Q92743,0.067302324
P01588,0.069027793
P14210,0.069730478
P46783,0.071143649
Q96EB6,0.078481579
Q02297,0.079190202
P10451,0.092711189
P01024,0.104699156
Q9H4F8,0.110584836
P24298,0.122679303
Q8N8N7,0.124819363
P0DJI8,0.140419366
Q96MK3,0.151628807
Q99941,0.154468843
P01031,0.158318271
Q8N474,0.179661809
P18428,0.191054012
Q92994,0.198422153
P21741,0.202472214
P13671,0.213475907
P09871,0.237638028
Q06033,0.268335227
Q08830,0.275787222
P02748,0.281767084
