term,df,sumsq,meansq,statistic,p.value,Protein,p_adj_FDR
df$group,4,5561235.988,1390308.997,10.23350751,9.03041996586309e-07,EMR2,0.000105031
df$group,4,18134710817,4533677704,9.915553485,1.35619728046459e-06,C9,0.000146469
df$group,4,40607336877,10151834219,9.721697844,1.74093456565694e-06,Elastase,0.000175486
df$group,4,2474148.96,618537.24,9.562304803,2.13995894620009e-06,RS10,0.000202226
df$group,4,35568284.61,8892071.152,9.241751749,3.24989061643908e-06,C1QT4,0.000255058
df$group,4,79835.28599,19958.8215,9.265891959,3.14880618529305e-06,CD70,0.000255058
df$group,4,30216187190,7554046797,9.213189016,3.37378704306911e-06,CRP,0.000255058
df$group,4,1600831650,400207912.5,9.254197174,3.19736940638769e-06,ACTN2,0.000255058
df$group,4,1539975.987,384993.9967,9.156057308,3.63628864431569e-06,MOCS3,0.000261813
df$group,4,13073783760,3268445940,8.939286884,4.83729644208967e-06,PCI,0.000332454
df$group,4,6656553.051,1664138.263,8.731451445,6.37017253136534e-06,ITIH3,0.00041877
df$group,4,396452.0156,99113.0039,8.576743307,7.82700557765201e-06,MACD1,0.00045517
df$group,4,18842156307,4710539077,8.600003969,7.58791797391329e-06,FABP,0.00045517
df$group,4,8064305560,2016076390,8.601550803,7.57228557665092e-06,SMOC1,0.00045517
df$group,4,98098.51493,24524.62873,8.512594187,8.527028381549e-06,b.Endorphin,0.000477514
df$group,4,164607623.5,41151905.86,8.435515979,9.45336719724643e-06,C5a,0.000510482
df$group,4,240934.1382,60233.53456,8.394985593,9.98106658481097e-06,BRF.1,0.000520392
df$group,4,84442.34622,21110.58656,8.220641947,1.26170778112373e-05,FBCD1,0.000635901
df$group,4,488280383,122070095.7,8.141776315,1.40334380044298e-05,PCOC2,0.00068447
df$group,4,40379.01272,10094.75318,8.009464639,1.67846087052769e-05,FSTL5,0.000793073
df$group,4,573577.0982,143394.2745,7.947832987,1.82483879587065e-05,RALYL,0.000811517
df$group,4,75660059.5,18915014.88,7.952723031,1.81276295893925e-05,HSP70.protein.8,0.000811517
df$group,4,67251981.55,16812995.39,7.890573905,1.97250186678186e-05,HXK2,0.000852121
df$group,4,1511066384,377766595.9,7.769123553,2.32741023202117e-05,BPI,0.000977512
df$group,4,6758492900,1689623225,7.657489071,2.71103434479302e-05,SARP.2,0.001107861
df$group,4,320904.4452,80226.11129,7.603589813,2.91877787541217e-05,RBM9,0.001161366
df$group,4,12196332.86,3049083.215,7.554761289,3.1209847714346e-05,Ceruloplasmin,0.001209982
df$group,4,305297389.8,76324347.45,7.524969314,3.25132298486755e-05,SPI1,0.001229
df$group,4,1121175.027,280293.7567,7.435553418,3.67685979699639e-05,Activated.Protein.C,0.001313553
df$group,4,6872614.255,1718153.564,7.424040965,3.73563260635304e-05,FA20A,0.001313553
df$group,4,5476948.526,1369237.131,7.450196953,3.6034626786613e-05,KALM,0.001313553
df$group,4,73275.64748,18318.91187,7.381940419,3.95884511896118e-05,ZHX1,0.001330172
df$group,4,4660285.551,1165071.388,7.391355452,3.90777434706198e-05,EPHB2,0.001330172
df$group,4,170277460,42569365.01,7.361564431,4.07171606831533e-05,MMP.8,0.001338355
df$group,4,43073641.14,10768410.28,7.204401553,5.06030200779098e-05,HXC11,0.00162791
df$group,4,1521985767,380496441.7,7.174286332,5.27607920280698e-05,HTRA1,0.001661965
df$group,4,4324260.334,1081065.084,7.089431248,5.93594208844706e-05,PPIG,0.001831662
df$group,4,5769764.916,1442441.229,6.886721408,7.8745723012163e-05,PTGR2,0.002246482
df$group,4,27054.22854,6763.557135,6.925877335,7.4553208803526e-05,MLIP,0.002246482
df$group,4,17107246505,4276811626,6.887109318,7.87030313648924e-05,HMG.1,0.002246482
df$group,4,106059595,26514898.75,6.892569895,7.81045616468311e-05,TR.ECD,0.002246482
df$group,4,51997.94286,12999.48571,6.813978346,8.71837301019063e-05,VDR,0.002441144
df$group,4,66213076.84,16553269.21,6.753417787,9.49086961041516e-05,GPNMB.ECD,0.002609126
df$group,4,225735.9063,56433.97658,6.655024542,0.000108978,STA5B,0.002890774
df$group,4,178710.7054,44677.67636,6.662843212,0.000107786,IL.7.Ra,0.002890774
df$group,4,56075986.12,14018996.53,6.636801528,0.000111808,KLH41,0.002914716
df$group,4,17433614.31,4358403.577,6.55963319,0.000124648,SIR1,0.003144503
df$group,4,29215084.28,7303771.07,6.558874485,0.000124782,OSM,0.003144503
df$group,4,19155598151,4788899538,6.518706952,0.000132058,MMP.9,0.003273315
df$group,4,17424667.98,4356166.996,6.462708864,0.00014293,SPB8,0.003324782
df$group,4,5669125.568,1417281.392,6.473152489,0.000140836,KHDCL,0.003324782
df$group,4,440657473.9,110164368.5,6.494897301,0.000136574,CK.MM,0.003324782
df$group,4,47708036.64,11927009.16,6.4729377,0.000140879,Tropomyosin.2,0.003324782
df$group,4,259706.4439,64926.61098,6.440873649,0.000147413,MEF2C,0.003377098
df$group,4,1272444.073,318111.0183,6.419834444,0.000151868,SIR3,0.003427223
df$group,4,4326501.699,1081625.425,6.378091198,0.000161116,LD78.beta,0.003582468
df$group,4,67261346.94,16815336.73,6.267837934,0.000188402,Plasminogen,0.004128452
df$group,4,54650721.12,13662680.28,6.236446619,0.000197,ALT,0.004136992
df$group,4,78550983.02,19637745.75,6.246427325,0.000194223,DNM1L,0.004136992
df$group,4,2820228.432,705057.1081,6.243718505,0.000194973,Endothelin.converting.enzyme.1.ECD,0.004136992
df$group,4,1268089.618,317022.4044,6.222781197,0.000200866,Osteopontin,0.004160411
df$group,4,57417099.29,14354274.82,6.189634438,0.00021057,FTO,0.004302454
df$group,4,25816234.97,6454058.742,6.158051861,0.000220259,CREL1,0.004440429
df$group,4,7641715.961,1910428.99,6.082875787,0.000245191,CO1A1.C.term.propeptide,0.004692772
df$group,4,429640333.7,107410083.4,6.096458712,0.000240483,calgranulin.B,0.004692772
df$group,4,172808503.6,43202125.89,6.098308563,0.000239849,Periostin,0.004692772
df$group,4,1074476639,268619159.7,6.089261899,0.000242966,RBP,0.004692772
df$group,4,11880721.45,2970180.363,6.065949896,0.00025119,Glycoprotein.hormones.a.chain,0.004747491
df$group,4,42655.84977,10663.96244,6.037582977,0.000261581,BMP.RIB,0.004882842
df$group,4,1795059801,448764950.4,6.013595015,0.000270709,MDC,0.004991601
df$group,4,9080811.451,2270202.863,5.962987113,0.000291043,NDUB4,0.0053019
df$group,4,4641563.346,1160390.837,5.92527392,0.000307203,OIT3,0.005529647
df$group,4,810627255.7,202656813.9,5.870606527,0.000332262,Transaldolase,0.005897111
df$group,4,33238760.86,8309690.215,5.864022257,0.000335418,Epo,0.005897111
df$group,4,1033574551,258393637.7,5.853248221,0.000340647,IL.1.R4,0.005920208
df$group,4,97639198.51,24409799.63,5.840301567,0.00034704,GPDA,0.005962786
df$group,4,127623199.1,31905799.77,5.826977508,0.000353748,C1s,0.006009739
df$group,4,168047.3111,42011.82777,5.815370566,0.000359698,ROBO3,0.006042932
df$group,4,58621.12075,14655.28019,5.739585598,0.000401136,C1QL2,0.006592575
df$group,4,12939187.95,3234796.987,5.742370186,0.00039953,Prostasin.1,0.006592575
df$group,4,932190943.2,233047735.8,5.663443357,0.000447667,Midkine,0.007278206
df$group,4,20478936995,5119734249,5.557408748,0.000521769,C1r,0.008304372
df$group,4,231314.8994,57828.72485,5.562149374,0.000518204,Tpo,0.008304372
df$group,4,493001.2427,123250.3107,5.5134048,0.000556077,GLP1R.ECD,0.008758215
df$group,4,776519.8425,194129.9606,5.488586134,0.00057643,PARP.region.1,0.008985171
df$group,4,18139798.15,4534949.537,5.472186674,0.000590292,SMDF,0.009015365
df$group,4,33282.71982,8320.679955,5.472934153,0.000589653,BMP.2,0.009015365
df$group,4,4767362.13,1191840.533,5.454194478,0.00060589,BAMBI.CD,0.009161064
df$group,4,3067602.416,766900.6041,5.415519219,0.000640854,Cyclin.H,0.009593776
df$group,4,262045225.6,65511306.4,5.384139525,0.000670725,OMD,0.009942506
df$group,4,12879037.37,3219759.343,5.360871264,0.000693784,MIA,0.010184481
df$group,4,324629935.2,81157483.79,5.33206466,0.000723452,Lymphotoxin.b.R,0.010471031
