Protein,MeanZ
Q9Y5C1,2.2139956557809004
P54819,2.164684966862076
O14791,2.1404345568483163
P08397,1.9976619409197285
P42224,2.0794342691326775
Q8TF42,1.8828388377805683
Q9Y6E0,2.0179113689105472
P50990,1.667008454709961
Q12841,1.6225904885337825
Q01581,1.5220426533969722
O94973,1.8971559538363958
P08246,2.0844818690665377
Q15485,1.6995819604043094
P02748,2.527227873841166
P02790,3.0817860233862255
P24592,2.4147258843292834
Q15828,1.7489397516828686
Q9Y696,1.710989007024422
P00338,2.019146625988312
P02774,1.5995923865191848
Q92743,1.500223182423524
Q9BXR6,2.4808542121426282
P06396,2.636316627699862
O76074,2.100578867133874
P30043,2.4020813988117333
O75475,1.5029261039251158
P61086,2.043366277556008
P06727,1.936536970698454
Q9NRV9,2.057445340633744
P02768,1.940031785350726
P54578,1.9900820166411066
Q06187,2.1334758921589514
P61020,1.7440921325333032
Q99497,1.6052965908554813
O60496,1.9483431554323805
Q96E17,1.796829414406967
P13591,1.8506877954853367
Q14126,2.1154804183739215
Q16853,1.7722126879528972
Q8IXL6,2.2877445638718235
P41226,2.024740542203316
Q13163,1.9559067098735798
P19875,1.677579335501645
P18065,1.869749424671187
P01031,2.096111727254475
P11216,1.8619229049390886
Q9UMY4,1.6722133650705115
P02743,2.4667709035611023
P35625,1.6834866927754264
P55072,2.0634429699880354
P23368,2.316056159349383
P05156,2.4798669656332777
P01033,2.0087848046724828
P07333.1,2.065313644485374
P17252,1.584077269027682
P24592.1,1.6531843785354605
P02776,2.276332684596166
P05543,2.426033465570324
Q15389,1.6155529475214139
P63000,1.6191483522246004
P63279,1.5920729811975978
P01011,3.2767840250464464
P10643,2.4944088321263207
P02649,2.2784570115701173
P00746,1.7301634873296419
P04070,2.379341954868594
Q12860,1.7099693418315642
Q03167,1.6601931069193367
P55773,1.7544671064464932
P09486,2.24770038013697
P55774,2.3331640383294636
P00738,2.220336552566819
P18428,1.9621477845085809
P09429,1.8271290204110415
P08709,2.4620391161454385
P04406,2.8480316889458472
Q15582,1.9547697906659685
P00736,2.4313387881108715
P10646,1.937479045433235
P35443,1.5826517923080985
P01008,2.918694301513284
Q16610,2.2387838774859583
P05154,2.3311855357597087
Q9Y243,2.0921279031475857
P16581,1.5759483116732382
P04040,1.8482635678817656
O00626,1.5390501145952846
P48061.1,1.764365136885516
P01009,1.898349951177227
P00747,2.058974263187761
P62937,2.5128808200048134
P40925,1.707219316461616
Q06830,1.610705799941165
Q14974,1.558260079842253
P13671,2.407083611027587
P00751,2.1292657948844558
P02751,2.198812492895658
P01127,1.7911184166266856
P03952,2.414287818781073
P08603,2.942780730010845
P02787,3.1817397165731935
P52209,1.5332466826054532
Q9NP79,1.8213248450897777
P14618,1.8282221100819522
P29401,2.1619296292585815
P02741,1.9938679586614378
P43652,1.9651393764443195
Q14624,2.1379538424989417
P01024.2,2.54711525576182
P01042,3.0979916371927225
P03956,1.77197047750389
P00915,1.5757880421672288
P00568,1.792144065321825
O00299,1.653276395476299
P30041,2.0441742924980395
P30405,1.7510369038803322
P00734.2,3.0762604129872133
P62993,1.823630598296734
P05771,2.173998721463254
P13501,2.0866929190180135
Q08830,2.1290876822619187
P05160,1.6410906944380208
P67936,2.1154515892237318
P02753,1.796543727022518
P08567,2.5110351135315283
P00738.1,2.505931435529303
P04278,1.6796775369297907
P19827,2.2100002690260667
P06276,2.138386907035106
O95897,1.6125939585288942
Q14118,1.6328557280939593
P08294,1.8271248893705159
P01024.4,1.6333632374144802
P36955.1,2.564141135391357
P19823,2.5644665787731284
Q15661,1.5145763420523866
P61586,1.565466353835555
