"contrast","estimate","SE","df","t.ratio","p.value","Protein","p_adj_FDR"
"draw 1 - draw 2",-49.927850877193,13.4126477000519,82,-3.72244555987255,0.00323769749231517,"VDR",0.183348262486163
"draw 1 - draw 3",-67.2166666666667,14.097012812774,82,-4.76814964697757,7.66835271902577e-05,"VDR",0.019007457887159
"draw 1 - draw 4",-44.0275000000001,14.3761886831405,82,-3.06252936507664,0.0241024457955062,"VDR",0.615589493966308
"draw 1 - draw 5",-43.9772435897436,15.0413312616732,82,-2.92376005984272,0.0352039772049387,"VDR",0.775924395537425
"draw 2 - draw 3",-17.2888157894737,14.8204005470301,82,-1.16655523139273,0.770248016890914,"VDR",1
"draw 2 - draw 4",5.90035087719296,15.0861957823751,82,0.391109260565624,0.994958586728813,"VDR",1
"draw 2 - draw 5",5.95060728744936,15.7213278146053,82,0.378505388197629,0.995556935559212,"VDR",1
"draw 3 - draw 4",23.1891666666667,15.6977691122643,82,1.47722689133894,0.580061469086313,"VDR",1
"draw 3 - draw 5",23.2394230769231,16.3091017585914,82,1.42493580706742,0.613539249522208,"VDR",1
"draw 4 - draw 5",0.0502564102563987,16.5510069476703,82,0.00303645635672172,0.999999999980289,"VDR",1
"draw 1 - draw 2",4884.43771929825,7488.26094902261,82,0.652279314589829,0.965749488080357,"PNP",1
"draw 1 - draw 3",8850.56666666668,7870.34095761409,82,1.12454679083557,0.793137237514669,"PNP",1
"draw 1 - draw 4",9681.47666666668,8026.20442430056,82,1.2062335015234,0.747778479731803,"PNP",1
"draw 1 - draw 5",11895.4012820513,8397.55252109276,82,1.41653193024667,0.618900083499316,"PNP",1
"draw 2 - draw 3",3966.12894736842,8274.2072368582,82,0.479336428715605,0.989038306412528,"PNP",1
"draw 2 - draw 4",4797.03894736843,8422.60031522573,82,0.56954370002536,0.979116156838766,"PNP",1
"draw 2 - draw 5",7010.96356275305,8777.19356935291,82,0.798770530392885,0.930246249054681,"PNP",1
"draw 3 - draw 4",830.910000000005,8764.04078142505,82,0.094809006567048,0.999981330218946,"PNP",1
"draw 3 - draw 5",3044.83461538462,9105.34687435525,82,0.334400727111259,0.997251662698135,"PNP",1
"draw 4 - draw 5",2213.92461538462,9240.40217598211,82,0.239591802739832,0.999256350408906,"PNP",1
"draw 1 - draw 2",66.5530701754385,176.467387516736,82,0.377140904684876,0.995618475386572,"NCF.2",1
"draw 1 - draw 3",-25.116666666667,185.47143550565,82,-0.135420673259963,0.999922643689288,"NCF.2",1
"draw 1 - draw 4",-18.9950000000001,189.144493771475,82,-0.100425868188106,0.999976509604481,"NCF.2",1
"draw 1 - draw 5",41.5121794871786,197.895634917109,82,0.209768040131691,0.999560181574005,"NCF.2",1
"draw 2 - draw 3",-91.6697368421054,194.988895926633,82,-0.470127985526917,0.989814056522183,"NCF.2",1
"draw 2 - draw 4",-85.5480701754386,198.485907989027,82,-0.431003243717273,0.992681592908119,"NCF.2",1
"draw 2 - draw 5",-25.0408906882599,206.842206682791,82,-0.121062770939502,0.999950502882596,"NCF.2",1
"draw 3 - draw 4",6.12166666666684,206.532249786257,82,0.0296402458841282,0.999999820943058,"NCF.2",1
"draw 3 - draw 5",66.6288461538455,214.575424960434,82,0.310514804601372,0.997941389775182,"NCF.2",1
"draw 4 - draw 5",60.5071794871787,217.758120703895,82,0.277864170078212,0.99866762445871,"NCF.2",1
"draw 1 - draw 2",-128.454385964912,552.279654944787,82,-0.232589386219114,0.999338485496774,"FOXM1",1
"draw 1 - draw 3",9.18541666666665,580.459096973146,82,0.0158243995392006,0.999999985448547,"FOXM1",1
"draw 1 - draw 4",243.12,591.954452461703,82,0.410707274840084,0.993915883589449,"FOXM1",1
"draw 1 - draw 5",818.528205128205,619.342386744038,82,1.32160856845486,0.678646878647379,"FOXM1",1
"draw 2 - draw 3",137.639802631579,610.24533584265,82,0.225548307454936,0.999414104022753,"FOXM1",1
"draw 2 - draw 4",371.574385964912,621.189729831446,82,0.598165694184506,0.974990780417631,"FOXM1",1
"draw 2 - draw 5",946.982591093117,647.341948800347,82,1.4628784568157,0.589261415931874,"FOXM1",1
"draw 3 - draw 4",233.934583333334,646.371894841515,82,0.36191948505232,0.996263883328468,"FOXM1",1
"draw 3 - draw 5",809.342788461539,671.54414945674,82,1.20519669349554,0.748375336740512,"FOXM1",1
"draw 4 - draw 5",575.408205128205,681.504846057556,82,0.844320049163098,0.915870575011615,"FOXM1",1
"draw 1 - draw 2",-6.06842105263157,8.29335983994026,82,-0.731720457058485,0.948484222204769,"FANCL",1
"draw 1 - draw 3",-5.72500000000001,8.71651910488417,82,-0.656798881653583,0.964888241345075,"FANCL",1
"draw 1 - draw 4",-14.5733333333333,8.88914020128174,82,-1.63945364831033,0.476948735438426,"FANCL",1
"draw 1 - draw 5",-5.20769230769223,9.30041371505756,82,-0.559942005511096,0.980388356604598,"FANCL",1
"draw 2 - draw 3",0.34342105263156,9.16380698704944,82,0.0374758059741866,0.999999542536854,"FANCL",1
"draw 2 - draw 4",-8.50491228070177,9.32815451780943,82,-0.911746505106029,0.891617848310265,"FANCL",1
"draw 2 - draw 5",0.860728744939339,9.72087179533379,82,0.0885443983895051,0.99998578885165,"FANCL",1
