"Timepoint","Q9UKZ9","Q03692","P02461","P02452","Q15113"
"D5",18057.3,1503.7,9895.1,2744.9,6786.1
"D4",13277.3,2946.6,15451.8,2936.3,4558.3
"D2",10398.9,338,19207.4,2691.5,1854.5
"D2",14536.5,248.9,13881.9,1854.2,4723
"D2",12248.8,242,10043.5,1440.7,2053.5
"D1",9593.2,424.2,7556.8,1236.3,4431.5
"D1",6260.5,358,7449.1,1991.8,3930.1
"D1",12094.8,509,9141.1,1343.6,2663.4
"D3",11820.7,366.1,10281.5,1205.4,3008.7
"D3",11639.1,528.6,9861,1612,2629.4
"D4",16135,335,14384.4,2029.5,7696.4
"D3",8526.4,798.9,11457.9,2578.4,3283
"D2",8025.4,300.4,4901.9,781.6,4305.7
"D1",12873.9,301.9,8460.7,2061.1,3300
"D1",16658.4,262.2,10130.1,1280.8,3887.3
"D4",10201.1,555.3,10823.6,1881.3,3553
"D1",12442.7,388.6,10970.8,1892.5,2723.8
"D5",18807.1,1051.4,13663.5,2454,7609.7
"D4",13908.2,348.5,14529.7,2015.4,3090.8
"D5",19316.6,366.2,9959.8,2341.1,4435.9
"D1",9482.5,291.8,9161.6,2037,3182.7
"D2",12312.8,354.1,4680.5,933,3120
"D2",12972.2,336.4,11958.5,1470.9,4270.7
"D5",22630.3,292,13052.4,2404.6,4705.8
"D1",9368.1,291.8,11580.8,2426,5608
"D1",18003.3,478.4,10323,2603.7,5891.9
"D1",15739.4,323.5,7915.9,1818.8,3609.3
"D2",12398.3,324.3,6518.6,1255.9,5553
"D3",13758.1,593.6,16255.7,2723.8,4961.3
"D3",17155.2,715,10089.2,1917.7,3169.6
"D2",12891.2,272.1,10148.9,2143.7,2900.2
"D4",12798.6,556.1,12428.1,1919.4,3655.9
"D5",18531.6,504.8,10120.9,2210.6,5422.7
"D1",13859.9,307.4,9757.7,1419.1,6540.8
"D2",10762.8,292.8,11285.5,1764.4,2257.3
"D5",14098.4,710.5,9053.2,1671.3,3507.5
"D2",12408.1,255.1,12028.4,1639.6,2706.2
"D1",14812.6,751,11184.6,2287.6,6754.9
"D2",10608.1,271.3,12954.5,1708.8,3146.1
"D3",14242.4,490,10105.4,1870.9,6992.7
"D4",17788.6,404.8,13759.2,2766.5,6996.3
"D2",8936.5,330.9,11805.1,1850.2,2614.3
"D2",6951.1,309.4,8249.6,1074.2,2277.5
"D1",7032.2,249.1,11522.7,1566.2,6036.8
"D5",15894.6,529.8,15981,3892,5938.3
"D3",15837.8,405.3,9490.8,1801,4174
"D3",15836.2,330.2,12282.3,1694.2,8436
"D3",18918.2,721,17050.9,3513.1,6433.8
"D5",17247.1,445.7,12692.9,2144.4,2993.4
"D4",14622.3,589.2,10929.1,2581.9,4469.2
"D2",9910.2,261.5,13508,1905.4,2059.8
"D1",12106.4,293.5,5594.1,1160.2,3593
"D1",11765.9,299,9224.6,2091.4,4252.9
"D2",12824.6,396.6,4678.4,1231.1,4142
"D5",19822.8,556.2,10491.6,2129.1,2509.7
"D1",8418.1,365.4,7731,1791.5,3769.9
"D3",9813.9,561.3,9447.8,1589.4,3350.7
"D3",20424.9,725.9,11107.9,1632.1,3653
"D4",14803.4,480.8,10508.1,1857,3139.4
"D4",13808.7,613.3,14310.4,2684.7,3648
"D4",12343.2,381.4,8875.3,1931.1,4246.3
"D4",13194.6,534.5,10537.6,2484.3,3026.4
"D2",13196.3,696.1,11557.5,1562.5,2400.8
"D1",13747.9,285,11721.6,2029.2,5046.9
"D5",15763.5,443.8,13621.1,2069.2,3521.7
"D2",5630.5,468.4,6122.2,1190.7,3423.6
"D1",19399.7,752.4,12224.3,1672.4,3223.1
"D4",23414.9,700.5,12739.4,1958.3,4107.3
"D1",8751.6,405.9,5303.3,1365,4547.4
"D4",12723.7,815.3,11905,2668.2,8935.7
"D3",8459.4,643,14225.1,2615.2,4689.8
"D2",10467.1,373.6,11389.4,2123.4,3908.4
"D5",13222.1,738.3,11624,2553.1,4981.2
"D3",7527.7,1392.8,22916.9,3786.9,4532
"D1",12901.5,227.9,9296.6,1631.6,5959.7
"D5",20518.3,495.2,9995.1,1513.5,4477.1
"D5",11114.8,367.7,8840.6,1432.4,5834.8
"D4",16151.6,364.1,9957.3,2190.9,4280.5
"D3",11866.4,589.9,12808.5,2127,2825.1
