"Timepoint","P06702","P0DJI8","P02741","P18428","P11142"
"D5",6380.9,1095.4,14231.4,28269.9,2840
"D4",2344.3,12705.9,54206.1,47304.7,1702
"D2",7471.6,70792.1,82391.2,82281,3469.9
"D2",4143,110054.9,69760.5,104858.2,2184.4
"D2",5176.8,208424.6,109462.2,106444.6,2414.3
"D1",25723.9,60843.9,81470.2,33910.8,5420.1
"D1",11494.1,6758.9,18549.4,34957.1,2308.5
"D1",5800.3,9062.8,16823.3,45230.7,3252.6
"D3",2788.1,5269.7,50635,33857.5,1582.1
"D3",4770.3,1935.5,11999.5,29970.8,1535.7
"D4",3027.9,2187.4,33245.6,31785.5,1674.3
"D3",2566.4,5023.6,66829.8,36828.7,2521.9
"D2",3770.5,101809.8,67846.8,74520.1,2448.9
"D1",13166,48353.3,68130.3,52707.1,5298.3
"D1",12290.5,84778.1,92911.1,67410.9,2456.8
"D4",3331.1,46336.5,65991.9,39621.6,2449.1
"D1",3918.8,181587.4,133819.7,95252.1,2532.3
"D5",2308,2131.5,22567.6,23836.5,2184.9
"D4",3442.4,3872.1,69874.1,35955.5,1808.4
"D5",10785.5,3513.5,23387.9,30384.1,1887.1
"D1",5766,83739,32486.5,55831.1,4632.7
"D2",4354.2,117997.7,71796.4,78827.4,2087.4
"D2",5159.4,108585.5,102053.7,55067.7,2489.3
"D5",2541.5,16968.4,80312.5,35563.3,2082.8
"D1",6971,10933.7,43301.7,25411.5,11150.8
"D1",5139.7,3679.1,23756.4,15165.3,1677
"D1",17135.5,10010.9,43587,41624.9,3316.4
"D2",5324,69116.3,82175.3,67955.7,3112.9
"D3",1958.9,12365.5,18384.9,33232.6,2110.3
"D3",19464.2,18483.6,84199.5,35701.2,3208.2
"D2",6181.7,192536.3,113123,98325.4,2034.7
"D4",2522.1,3951.8,50847.4,31126.9,2797.6
"D5",3022.7,4872,45196.3,34596.9,1683.3
"D1",5576.7,3446.6,16446.7,45303.1,2517.3
"D2",2293.3,235558.6,123296.4,113509.6,2399.8
"D5",1709.3,3374.3,35527,32822.1,2132
"D2",23476.8,130859.7,76199.3,97700.2,4578.9
"D1",5402.8,1379.7,10041,24652,2704
"D2",2970.2,116586.1,85818.5,77654.5,1658.2
"D3",2656.2,2860.3,21900.3,38872.4,2048.8
"D4",2639.5,7008.6,47675.1,28816.2,1980
"D2",3127.5,58764,100024.6,53144.2,4599.3
"D2",7212.6,102772.5,75963.6,66027.1,2834
"D1",9057.5,28270.1,72760.3,58601.1,2218.7
"D5",7390.4,62233.2,90870.3,35097.9,1804
"D3",8986.9,2229,25022.7,35608.7,1628.9
"D3",6894.6,5627.8,31168.9,23899.3,1742.2
"D3",9004.6,8697.2,85554,38704.3,2363.6
"D5",2154.3,1850,1968.3,36596.9,2004.5
"D4",2575.7,4083.5,50584.4,36518.6,1660.6
"D2",4396.8,233104.9,148888.8,108950.3,1915.4
"D1",13519.8,13418.7,36474.2,46101.6,10328.8
"D1",9637.9,112375.1,107600.3,67438.8,2677.7
"D2",6417.4,126540.9,117105.3,21781.4,2811.8
"D5",4465.1,12594.4,75458.6,37854.2,2421
"D1",14816.7,9150.1,29284.6,27832.4,8070.9
"D3",2037.7,3556.8,45920.8,32533.9,2443.5
"D3",3504.4,38882.8,78197.7,74127.6,1897.2
"D4",4550.9,7945.9,67413.7,42160.9,1390.9
"D4",3747.3,12180.1,39475.9,36216,2390.4
"D4",1881.5,2701.4,51335.4,49095.6,2027.8
"D4",2822.7,2021.6,1657.6,27946.7,2095.1
"D2",6677.3,158049.5,96780.5,97276.7,2642.5
"D1",11063.6,12039.2,31819.2,19361.4,2998.8
"D5",1905,1142.2,10380.8,22896.6,1534.3
"D2",1784.3,45185.8,61284.3,59001.2,2283.6
"D1",5223.8,3339.3,37711.2,29464.2,3107
"D4",7918.6,18575.1,70139,51538.7,1944.8
"D1",3550.6,40339.6,73802.7,46806,1971.3
"D4",2708.2,1857.5,28421.3,38015,2566.1
"D3",4704.4,13343.8,52676.2,38523.1,1946.3
"D2",4866.9,75300.7,80873.6,50240,1621.8
"D5",3104,41674.1,97519.4,42330.3,1647.9
"D3",6112.6,9967.4,40891.7,38700.8,2118.6
"D1",13215.4,1256.5,7060.1,13732.9,2520.3
"D5",1675.5,1435.2,31776.7,61942.1,1671.7
"D5",2669.4,8001.7,40484.5,31820,2240.1
"D4",9771.1,3091.6,28025,48234.4,1822.5
"D3",3979.2,4590.7,21995.7,33956.5,2208.1
