,,,,,,,,Neogenin,Noggin,BMP-1Rb
Timepoint,P12643,P12644,P18075,P01137,P61812,P22004,P43026,Q92859,Q13253,O00238
D1,309.4,475.4,436.7,2668.5,299.7,614.3,556.5,3433.2,1999.9,234.7
D1,342.3,632.4,394.5,1507.9,358.5,855.3,437.4,2624.5,1523.5,310.3
D1,311.4,583,550.5,2001.7,360.9,765.6,460.1,3482.2,1997,309.7
D1,327.3,614.4,468,1659.1,345.6,2527.4,520.6,4656,1140.2,263.3
D1,410.8,357.5,339.9,1269.2,470.7,671.2,521.5,2132.5,1977.4,283.2
D1,345.3,868.1,583.6,2137,330.3,1094.3,368.7,5271.4,1201,237
D1,317.1,737.8,577.7,2391.5,422.3,868.2,491.9,4591.5,1605.9,221.2
D1,322.2,488.5,525.4,1579.5,397.6,716.6,745.6,3405.6,1685.1,236.8
D1,446.7,787.4,545.3,2028.4,345.4,848.6,311.9,2910.6,1853.5,280.9
D1,378.2,506.1,314.4,1005.4,408.7,855.5,509.2,3675.3,1101.8,287
D1,302.1,749.2,503.4,2610.6,311.3,842.8,383.7,3044.1,3231.9,299.8
D1,273.5,873.2,519.2,2678.6,276.7,893.2,507.9,4380.3,1498,244.9
D1,263.9,409.2,345.3,1919.4,232.9,655.1,497.8,2299.2,2584.4,360.5
D1,320.2,422.5,363.7,2355.6,360.1,562.1,591.5,2385.3,1617.2,267.7
D1,300.3,797.6,614.2,2240.6,313.4,898.2,500.2,3583.5,1284.8,305.3
D1,279.3,522.5,495.5,2114.6,287.4,714.9,414.7,3050.7,3040.3,291.2
D1,321.5,854.4,583.6,2055.5,314.8,1035.1,426.4,4253.9,1462.4,235.1
D1,335.2,1086.4,645.3,1847.7,348.4,1220.2,286.9,4062.4,1436.8,226
D1,286,660.5,466.1,2517.2,312.4,757.7,364.2,4359,2004.4,325.2
D1,469.2,496,289.8,508.2,473.2,743.5,525.1,3184.3,704.2,290.4
D2,295.8,482.9,334.9,1764.7,284.6,726,406.2,2455.1,2530.2,380.4
D2,287.4,369.3,328,2578.8,327.8,516.8,487.1,1775.7,2034.1,340.4
D2,325.5,521.6,383.9,2203.1,394.9,661.5,464.4,3373.6,1062,265.3
D2,281.2,330.2,410,2683,345.8,545.1,650.3,1664.6,3759.7,391.2
D2,271.8,384,353.9,2297.9,306.6,560.4,513.2,2667.6,2201,339
D2,306.9,526.7,363.5,2435.7,303.5,684.7,433.7,2884.5,1244.4,275
D2,297.1,627.5,516.3,2994.2,314.1,795,480.2,4380.3,1718.5,257.5
D2,337,573.9,412.7,2156.4,386.1,2587.1,407.8,4032.3,1170,261.9
D2,308.3,590.3,455.2,2094.2,304.3,738,399.7,3668.1,1031.4,282.2
D2,290.1,437.6,306.2,2229.2,304.3,501.9,507.7,2485.6,1091.1,282.6
D2,325.8,448.4,360.9,2080.2,294.8,635.4,473.1,2606.3,1709.2,310.5
D2,274,638.6,441.5,2137.1,295.1,727.6,458.3,3503.8,1556.6,335.7
D2,322.1,297.3,276.7,2393.6,393.4,528,664.6,1712.8,1276,269
D2,323.3,575.9,430.3,1794.7,322.5,703.1,456.2,3582.2,1518.2,317.1
D2,390.8,679.8,452.3,1792,318,752.3,420.9,2561.5,1494.4,287.3
D2,311.7,685.5,530,2174.3,317.8,888.6,403.5,2982,1325.3,290.9
D2,277.5,517.3,463.1,3212.8,394.4,749.9,521.5,2230,2064.8,400.8
D2,265.1,463.8,373.2,2085.4,262.2,612,359.9,2067.8,1558.1,411.3
D3,311.2,373.4,446.2,2430.4,288.7,552.2,412.2,2562.5,2378.3,340.9
D3,301.8,685.5,503.4,2003,320.1,821.5,504.5,3808.5,1733.5,365.8
D3,251.2,547.3,414.6,2760.4,315.6,676.9,522.7,3039.6,2166.3,391.3
D3,260.2,722,470.8,1982.4,257.6,779.1,383.7,2690.5,3892.7,332.1
D3,368.9,667.8,456.6,1542.9,410.9,922.8,878.7,3317.7,1251,279.3
D3,275.8,662.7,564.2,2800,330.1,751.8,569.2,2628.3,4359.5,388.9
D3,304.3,399.1,335,1484.1,328.6,1638.7,564.4,2892.2,1201.2,325.5
D3,291,518,438.7,2170.6,253.8,642.3,384.4,3410.3,2149.8,295.7
D3,300.2,838.4,508.5,2474.8,286,957,364.3,3708.7,1432.7,283.9
D3,256.1,851.5,538.5,2264.4,265.5,1066.5,366.4,2977.9,2403.2,358.1
D3,288.9,361.3,360.7,4565.6,283.8,519.5,345.8,2975.4,2941.2,289.1
D3,285.2,473.6,411.5,2982.5,305.7,626.2,354.2,2203,2731.9,323.1
D3,314.1,440.1,443.1,2520,387.4,628.3,457.8,3007.2,1730.2,293
D3,277.1,651,487.2,2249.4,341,692.3,427.9,3894.4,1625.7,341.8
D4,301.2,689.1,603.2,2202,310.3,802.3,348.7,4371.3,2255.3,315.3
D4,306.2,550.5,383,2076.9,266.4,636,437.2,3581.8,1405.1,307
D4,249.9,477.6,425,2746,302.1,650.7,408.5,2793.4,2584.2,348.8
D4,346.3,582.9,452.7,1733.4,318.8,712.5,373.3,3411.8,1813.6,310.4
D4,270.9,1072.5,618,2212.9,267.5,1347.4,338.3,3749.3,2548,358.7
D4,286.8,665.9,470.4,2205.9,271.1,748.2,379.7,3976.8,1316.4,272.6
D4,291.7,824.5,541.7,2449.2,264.5,858.8,376.9,4564.6,3498.6,362.2
D4,336.7,746.3,547.5,1928.2,339.3,887.1,442.2,3466.8,1946.8,338.6
D4,311.3,774.9,526.2,2139.6,289.1,909,360.7,3052.2,7018,272.1
D4,290.8,488.8,585.8,3287.6,362.3,672.5,517.4,3066.5,2137.4,353.7
D4,305.5,753.5,519.2,2075.1,567.1,850.1,475.4,5345.6,1734.5,260.1
D4,290,642.8,454,2418.6,308.5,596.6,349.3,3002.7,1997.2,290.4
D4,286.1,455.9,515.7,3928.8,328.8,661.5,355.4,2433.8,2286.3,321.8
D4,387.8,368.3,303,1958.8,447.8,614.8,484.5,3374.8,1401.9,278.9
D5,309,779.6,619.2,2732.8,305.1,832,468.1,4815.3,1667,294.6
D5,280.5,785.2,518.2,2686.6,262.1,823.2,477.2,4221.2,1520.2,276.1
D5,359.8,429,401,1593.4,387,686.9,522.3,3233.3,1988.3,262.3
D5,294.8,643.6,463.5,2169.2,275.1,751.8,339.1,3068.6,1839.8,324.2
D5,305,827.2,561.5,2594,270.1,865.1,342.8,5036.6,3014.6,300.4
D5,267,895.5,551,1962.2,277.9,1055.9,396.2,3348.9,2362.3,396
D5,304.4,734.2,475.9,2520.7,273.8,848.5,758.9,3880.8,2172,251
D5,312.4,826.7,554,2137.1,1009.6,885.5,398.6,5390.7,1609.6,249.6
D5,273.4,649.5,426.3,1803.9,278.1,771,405.9,3073.9,5097.1,334.5
D5,288.7,1101.9,648.5,2275.8,298.6,1185.4,369.8,5054.1,1445.8,248.6
D5,281.7,543.5,399.9,2084.7,326.6,709.8,346.1,2905.7,2414.6,342.3
D5,289.3,767.2,606.3,2674.4,320.9,902,371.8,3305.9,2474.2,257.5
D5,264.3,396.9,405.3,2785.8,353.9,544,530.2,2469.2,1917.8,336.6
