"","Protein","p_value","FDR","OverexpressedAt","emmean"
"1","P35609",2.29647432695863e-18,3.44471149043794e-15,"D2",13.0709400539713
"2","O60662",1.04139277912196e-17,7.81044584341472e-15,"D1",10.969786499664
"3","P48788",1.94292117475921e-17,9.71460587379603e-15,"D1",14.3005253699001
"4","P48788.1",4.5872680690816e-17,1.7202255259056e-14,"D2",14.0853413266135
"5","P06732",4.49680779500823e-16,1.34904233850247e-13,"D1",11.7418987585498
"6","P49746",1.1529148281584e-13,2.882287070396e-11,"D4",13.4028928732376
"7","P07451",8.51995680109722e-13,1.82570502880655e-10,"D1",13.0044071041382
"8","P21695.1",1.27897336696875e-12,2.3980750630664e-10,"D1",14.1855729334988
"9","P0DJI8",1.86110049477806e-12,3.10183415796344e-10,"D2",16.8061493401925
"10","P35443",2.07115042835671e-12,3.10672564253507e-10,"D5",14.7254555540389
"11","Q99941",1.16164469410664e-11,1.58406094650906e-09,"D2",11.5520807580917
"12","P05413",4.43388213176403e-11,5.54235266470503e-09,"D1",15.3939970797138
"13","P02144",4.88640324299449e-11,5.63815758807056e-09,"D1",11.4170220801237
"14","P02786",8.72095538839238e-11,9.34388077327755e-09,"D3",12.7776387732249
"15","Q6FHJ7",9.55565294281607e-11,9.55565294281607e-09,"D4",13.2995232378421
"16","P13929",1.50995894049483e-10,1.4155865067139e-08,"D1",11.9808299049498
"17","P05154",2.6553386802955e-10,2.34294589437838e-08,"D1",16.2160419768583
"18","P18428",1.47857685828622e-09,1.23214738190518e-07,"D2",16.1852404137421
"19","Q08830",1.95861354306974e-09,1.5462738497919e-07,"D2",17.3230028316505
"20","P14210",2.54905759156259e-09,1.91179319367194e-07,"D2",11.5934928824282
"21","Q06033",2.69362680249972e-09,1.92401914464266e-07,"D2",10.9896004419122
"22","Q9UGM5",2.99382544965077e-09,2.04124462476189e-07,"D3",13.6335240397591
"23","O43251",4.00311827578496e-09,2.61072931029454e-07,"D1",8.75263225334885
"24","Q16674",5.36372149253434e-09,3.2919615877972e-07,"D5",11.4071912249459
"25","P05546",5.48660264632866e-09,3.2919615877972e-07,"D4",12.8491629976697
"26","P46783",5.80776385957275e-09,3.35063299590735e-07,"D3",9.52380117584212
"27","P09871",9.47115709620719e-09,5.07383415868242e-07,"D2",13.7723798727549
"28","P55001",9.35446404665808e-09,5.07383415868242e-07,"D5",9.37258560927693
"29","Q9BQ69",1.1011884223861e-08,5.69580218475567e-07,"D3",9.52876805623583
"30","Q15113",1.20561076327443e-08,6.02805381637214e-07,"D4",12.1467850048331
"31","P42892",1.31169213088863e-08,6.34689740752561e-07,"D5",10.6963529365544
"32","P81172",1.51194367001976e-08,7.08723595321765e-07,"D2",11.2982682723583
"33","Q14956",1.76480907890609e-08,8.02185944957315e-07,"D5",12.5926613995195
"34","P03952",2.24914900094485e-08,9.92271618063903e-07,"D1",16.2220433087247
"35","Q01638",2.36379871435769e-08,1.01305659186758e-06,"D2",12.9598296907472
"36","Q03692",3.67481054395908e-08,1.53117105998295e-06,"D3",9.16152830638929
"37","P21695",4.57120940744499e-08,1.85319300301824e-06,"D1",11.2749230486237
"38","P02748",5.0336015614168e-08,1.98694798476979e-06,"D2",16.7884022554576
"39","P23352",5.79392324916556e-08,2.22843201890983e-06,"D4",10.6719015222587
"40","Q13790",6.24606984130137e-08,2.34227619048801e-06,"D2",13.250280242777
"41","Q01344.1",7.0712189521871e-08,2.58703132397089e-06,"D2",10.5013044441572
"42","Q9UKZ9",8.07558229306179e-08,2.88413653323635e-06,"D5",14.1100529804592
"43","P01588",8.54005516970884e-08,2.97908901268913e-06,"D2",10.9764353453413
"44","P21741",1.07599407719343e-07,3.66816162679578e-06,"D2",12.1668492833188
"45","P48061",1.12587238570988e-07,3.75290795236627e-06,"D5",11.4807069395282
"46","Q9UKY1",1.21961544944329e-07,3.97700690035855e-06,"D1",8.71315659422539
"47","P01019",1.35918616939567e-07,4.33782820019893e-06,"D2",13.4897669378669
"48","P01031.1",1.50119265185849e-07,4.69122703705777e-06,"D2",13.3227833166039
"49","P00450",1.57551037213411e-07,4.82299093510441e-06,"D3",11.3460715753034
"50","Q5VWP3",2.20460254805269e-07,6.61380764415808e-06,"D1",7.69195703594627
"51","Q8N428",2.34643321606049e-07,6.90127416488379e-06,"D5",11.2443708502257
"52","P20023",2.48295133138373e-07,7.13476339554637e-06,"D5",13.1484002739608
"53","Q15063",2.52094973309305e-07,7.13476339554637e-06,"D4",13.1623592118688
"54","Q8IUL8",2.65745546476316e-07,7.38182073545323e-06,"D5",10.8846240456212
"55","Q4G0M1",3.5409328464107e-07,9.65708958112008e-06,"D2",8.72462136976406
"56","Q99594",3.88700550213696e-07,1.02749410108826e-05,"D1",9.307550960993
"57","P80303",3.97297719087462e-07,1.02749410108826e-05,"D2",9.95816526606396
"58","P04070.1",3.92813001117406e-07,1.02749410108826e-05,"D1",9.371283102683
"59","P13671",4.09530417604787e-07,1.04117902780878e-05,"D2",16.3466551432905
"60","Q96PD4",4.70930458294846e-07,1.17732614573712e-05,"D3",8.80430740487378
"61","P24158",4.89834147472123e-07,1.20451019870194e-05,"D2",11.5362222136951
"62","P14780",5.07046952933805e-07,1.20725464984239e-05,"D1",15.6912512016349
"63","Q96HD1",5.0348596145844e-07,1.20725464984239e-05,"D2",11.6013551130865
"64","P43403",5.64969387584143e-07,1.32414700215034e-05,"D5",9.20211797844448
"65","Q9UQ52",5.94414997623592e-07,1.37172691759291e-05,"D5",10.8964707835884
"66","Q13427",6.35766829286835e-07,1.44492461201553e-05,"D3",10.0691306197341
"67","O95396",6.8147470498412e-07,1.52568963802415e-05,"D3",10.3980092616941
"68","P05231",7.21414791388764e-07,1.59135615747522e-05,"D2",9.71544331618685
"69","Q92994",7.3376271230591e-07,1.59513633109981e-05,"D2",8.83518473503035
"70","Q86SE5",7.51542681718817e-07,1.61044860368318e-05,"D3",9.26311829929279
"71","Q9NUP9",9.08652768777746e-07,1.919688948122e-05,"D3",7.70329434588715
"72","Q8N474",9.41208293784639e-07,1.95723916174746e-05,"D2",13.6313520855849
"73","P24298",9.52523058717095e-07,1.95723916174746e-05,"D2",12.1229576696635
"74","P80511",1.12625364194028e-06,2.28294657150056e-05,"D3",12.5312539058406
"75","P29373",1.23202649675633e-06,2.40005161705779e-05,"D1",13.6086481788712
"76","P80098",1.22193886044962e-06,2.40005161705779e-05,"D2",8.28927359279612
"77","P06702",1.21133609812059e-06,2.40005161705779e-05,"D1",13.0404831549184
"78","Q8IUK8",1.25958831639676e-06,2.42228522383993e-05,"D5",10.9563873114535
"79","Q16651.1",1.42657099670494e-06,2.7086791076676e-05,"D1",12.0002525106621
"80","P08246",1.45806837473036e-06,2.73387820261943e-05,"D1",16.3197680909667
"81","P37837",1.55254014705214e-06,2.87507434639286e-05,"D1",14.2637049587685
"82","P21583",1.61579795490986e-06,2.95572796629852e-05,"D5",10.7687983222448
"83","P00747.2",1.67516542906409e-06,3.02740740192305e-05,"D5",13.3709475437137
"84","Q92743",1.80696921102541e-06,3.22240371349107e-05,"D2",14.7812805468024
"85","O15527",1.84751146240155e-06,3.22240371349107e-05,"D1",7.2350824095536
"86","P04179",1.8309205901341e-06,3.22240371349107e-05,"D5",14.0690676447432
"87","Q96EB6",1.9235020540483e-06,3.31638285180742e-05,"D3",12.0301223993043
"88","P14598",2.07951115437648e-06,3.4277656390821e-05,"D1",10.8092455914981
"89","O43248",2.07305313987877e-06,3.4277656390821e-05,"D3",11.6833266392215
"90","P15907",2.06239903730748e-06,3.4277656390821e-05,"D1",9.85110287316554
"91","P02753",2.07180565277617e-06,3.4277656390821e-05,"D3",14.7463601451629
