Protein,Cluster
P11473,1
P00491,2
P19878,3
Q08050,4
Q9NW38,1
P35520,4
P09104,5
Q8N2W9,1
Q13651,2
P10914,4
P40763,2
P05412,4
P84022,2
Q15796,2
P29460,4
P16234,2
P29459,1
Q9Y5C1,6
P16860,3
Q9H6B4,4
P09238,2
P04843,2
O15173,4
P32927,1
P09874,1
O00238,1
Q8N6K0,4
Q9HC56,2
Q6UX71,4
O14967,5
O60568,2
Q1W4C9,1
Q9BUP3,4
Q8TD46,1
Q9UJJ9,4
Q12846,2
P07988,1
O95168,4
P12821,4
P30740,5
P09603,1
P48058,2
Q8N6G5,1
P50454,4
Q9P109,3
O15031,2
O75871,4
Q13018,5
P05387,1
P01236,3
P02818,3
P05113,1
P21695,4
Q9Y5N5,2
O00206,1
P02452,2
Q14494,1
Q9NQ60,1
Q9NT68,3
Q92922,4
Q96TA2,4
P20823,1
Q15813,2
P51580,2
Q7Z5B4,3
O75460,3
Q15113,5
P10746,3
Q9NZR2,4
Q9UBS5,4
Q99259,1
P28906,4
P49902,2
Q6UXK5,4
Q99523,4
Q9Y3Z3,4
Q9H0M0,2
P15918,4
P49959,4
P42331,7
Q9NPI8,4
P51451,1
P37837,7
Q9H9Q4,1
Q9NQ66,5
Q9GZV4,2
P54819,8
Q99941,3
Q03426,2
Q14289,2
P16930,5
O00151,2
P25686,2
Q8IUC4,4
O14543,4
O43251,1
Q9Y4C8,4
O14791,6
P13987,2
P08397,8
Q9UP52,1
O43524,4
Q92576,4
Q92956,3
Q8N6T3,4
P68106,4
Q8IWI9,3
P20701,4
P29373,7
O60674,2
Q92508,1
P01133,4
P34931,1
Q13148,1
Q16828,3
P42224,8
Q96B67,4
Q13790,5
O15533,2
O95786,4
O43316,4
Q9H8S9,3
Q9H074,4
Q9HB71,7
Q969Q4,2
Q9NXV2,4
Q12830,3
Q9BRJ7,5
O75347,4
P29536,2
Q9Y3E7,5
Q8N668,4
Q86U86,3
Q13137,3
O75771,4
Q8TF42,8
Q13310,5
P20618,2
Q9Y6E0,8
Q9NR48,1
P08754,4
Q07866,2
Q9NTK5,2
Q9BY11,2
Q9NSB8,4
Q9UK32,2
O15143,7
Q8TEK3,1
P50990,7
Q9NRR5,2
O00287,4
O75534,4
Q9UKY1,1
Q9BYV9,3
Q86XI6,4
O15347,3
O95989,1
Q2Y0W8,1
Q9NZQ0,4
P14621,5
Q8NDI1,4
Q15849,4
Q86VK4,4
Q92974,4
Q9NZR1,1
Q99594,4
O75521,2
Q07869,4
O60504,1
Q9NUP9,1
Q99759,1
P46783,4
Q13976,3
P43220,4
Q16665,1
P06703,2
Q92843,4
O43915,5
Q9BQB4,3
P0DML2,4
P98172,4
Q7Z3B1,2
P41182,3
Q12841,8
P10451,4
P01130,1
P52789,4
P19367,3
Q00987,4
P56704,2
Q8N8Q1,3
Q9H2X0,2
Q03431,4
A8MVW0,4
Q01581,7
Q8TBE7,4
