Protein,MeanZ
Q9Y5C1,2.3640579674578235
P42331,1.5459220328215622
P37837,1.5650252985613866
P54819,1.975705147337824
O14791,2.2021087270089055
P08397,2.411381980817868
P42224,1.8411805685955696
Q8TF42,1.593880963569606
Q9Y6E0,1.6984729494776656
P50990,1.651138679213528
Q12841,1.687959024273205
Q01581,1.5577181068168686
O94973,1.851655927436639
P08246,2.4892597588743905
P21695.1,1.534693153293257
Q15485,1.6905768439157605
P02748,2.394133137143779
P02790,3.157430421508291
P24592,2.472289443816128
Q15828,1.7722805634188883
Q9Y696,1.5339590826268261
P00338,2.262316432236317
P02774,1.5892881654452333
Q92743,1.571446959630558
Q9BXR6,2.520757555840424
P06396,2.7535189638003343
O76074,1.8855901308838015
P30043,2.8121831510850672
O75475,1.7613955721704428
P61086,1.948576506276778
P06727,2.044008123685299
Q9NRV9,2.262176510805403
P02768,2.051683215851172
P54578,2.103756639157531
Q06187,1.6993803267390948
P61020,1.6142749719621783
Q99497,1.7694701043574141
O60496,1.677598428322181
P13591,1.9606316344627461
Q14126,2.2046594223349087
Q16853,1.8863072192119468
Q8IXL6,2.3463797776577366
P41226,1.7157838625939466
Q13163,1.8124397302854132
P18065,2.1069390074237897
P01031,2.011655795863617
P11216,1.567953734639568
P02743,2.412500963418585
P55072,1.9714413451097488
P23368,1.8715522099333928
P05156,2.451806972731564
P14780,2.2420862506233004
P01033,2.0404074828212577
P07333.1,1.8865397912524582
P24592.1,1.7030735266987442
P02776,1.9851098654477135
P05543,2.452748155514726
P48788,1.5948189406503142
Q14005,1.6260816183142761
P63279,1.5689610676429693
P01011,3.3430177114598565
P10643,2.567670490913292
P02649,2.3226260570945274
P00746,1.6081312079239267
P04070,2.4715943597314722
Q12860,1.8410017887880101
Q03167,1.6616290473959445
P55773,1.8439934018604827
P09486,2.1617387761945386
P55774,2.3406532430505314
P00738,1.8994555209353243
P18428,1.9927108574071197
P09429,2.2030420760117524
Q76LX8,1.529397071454728
P08709,2.535246111479746
P04406,2.889969911842974
Q15582,2.0877273256479287
P00736,2.420517315714849
P10646,1.9461146422949014
P01008,2.9631591841500082
Q16610,2.21554003477615
P05154,2.4431972956971357
Q9Y243,1.9213364993782345
P16581,1.6770428371389783
P04040,2.146657603441871
P48061.1,1.6981047419352073
P01009,1.872748240376361
P00747,2.0946920186176636
P62937,2.495227706112087
P40925,2.10125656117891
Q06830,1.805573095249715
P13671,2.33954777802482
P00751,2.1489705101566647
P02751,2.0379940596292445
P03952,2.4503852861015245
P08603,2.9244951926902294
P02787,3.254857176848293
P52209,1.612604727606507
Q9NP79,1.6796557567394097
P14618,1.568673316574437
P29401,2.34489298666902
P60174,1.5219879768481501
P02741,1.9866062820347477
Q99988,1.5818616271200399
P43652,2.0338855367797835
Q14624,2.0741283974088907
P01024.2,2.452812730757313
P01042,3.141365681971741
P04083,1.6048723447419682
P00915,2.1668026566786667
P00568,2.1711116698253514
P30041,2.284189883552561
P00734.2,3.1162284143271703
P05413,2.072684484926693
P05771,1.9267475128577753
P13501,1.8369484469821231
Q08830,2.0781275670123796
P05160,1.7304959131310096
P67936,1.7511655140856142
P02753,1.7891554340719231
P08567,2.324379140934936
P00738.1,2.2283568167256265
P04278,1.9654065900092277
P19827,2.2332386389724657
P06276,2.275488175548138
O95897,1.7127399955745204
Q14118,1.6254488318771372
P08294,1.9641764242242836
P36955.1,2.584229566243765
P19823,2.582221437387828
