,logFC,AveExpr,t,P.Value,adj.P.Val,B
P48788.1,2.632739204,12.56594216,9.612407456,8.92246408905596e-15,1.33836961335839e-11,23.24031726
P35609,3.525474918,10.98243709,9.403267754,2.23541891362149e-14,1.67656418521612e-11,22.35089081
P06732,2.644651422,10.45003023,8.800705982,3.18201973640267e-13,1.59100986820134e-10,19.77757871
Q99941,0.989267199,10.90593132,8.587689169,8.15246749720032e-13,3.05717531145012e-10,18.86555422
P48788,1.634741971,13.32990234,8.474434811,1.34454100948998e-12,4.03362302846995e-10,18.38048898
P0DJI8,4.065600697,13.82535517,8.33260582,2.51571994397312e-12,6.2892998599328e-10,17.77304605
O60662,1.798673634,9.370259079,7.205530719,3.57081361685869e-10,6.69527553161004e-08,12.96927407
P14210,1.541205671,10.51392452,7.005493646,8.52638802519588e-10,1.42106467086598e-07,12.12619978
P18428,1.068777496,15.39063758,6.966067903,1.01168977745486e-09,1.51753466618229e-07,11.96056602
P81172,2.24564821,10.49197602,6.667427836,3.6729917749876e-09,4.5912397187345e-07,10.71249855
P09871,0.378062741,13.49715179,6.462404521,8.83693396713929e-09,1.01964622697761e-06,9.863367335
Q08830,1.709793999,15.90716528,6.325092905,1.58490764672865e-08,1.69811533578069e-06,9.298726105
P24158,0.792584374,11.08132056,6.259799798,2.08994488760109e-08,1.95932333212603e-06,9.031476679
P02144,1.331470464,10.46896227,5.654444406,2.60428843619109e-07,1.95321632714332e-05,6.598505012
P13929,2.008833129,10.65248901,5.598213232,3.27760008554351e-07,2.34114291824536e-05,6.377185501
Q92743,0.676983808,14.29609336,5.537060747,4.2048559975653e-07,2.86694727106725e-05,6.137513587
Q8N474,2.029477111,12.05830007,5.502031841,4.84762060551742e-07,3.16149169925049e-05,6.000715786
P21741,1.725725683,10.69616554,5.462627409,5.68652303339147e-07,3.55407689586967e-05,5.847265448
Q01638,1.421635739,12.10243295,5.355581663,8.75363791803657e-07,5.25218275082194e-05,5.432795911
P01031,0.501533789,12.93105333,5.213320348,1.54481562612981e-06,8.46349686766051e-05,4.887631052
P07451,1.71631352,11.28420892,5.207671252,1.57985274862996e-06,8.46349686766051e-05,4.866121307
P80303,0.173534086,9.840572497,5.064365286,2.78107421625412e-06,0.000134568,4.324149972
Q9H4F8,1.078973374,14.2562105,4.982972544,3.82285221209011e-06,0.000179196,4.019592651
Q13790,0.922086434,12.55870928,4.87922748,5.71564531379552e-06,0.000259802,3.634982612
Q96HD1,0.558629634,11.20939749,4.775286729,8.51899088322739e-06,0.0003651,3.253836481
O95631,0.827654792,8.750825453,4.764243298,8.88589905770318e-06,0.000370246,3.213594306
P14555,1.18031759,10.95734494,4.669128853,1.27525539143322e-05,0.000490483,2.869069829
P01588,0.992530244,10.06174519,4.643774488,1.40334588009526e-05,0.000526255,2.777868273
P05231,0.957625999,9.171201259,4.369493116,3.88710075087455e-05,0.001336474,1.809266222
O60568,0.639113328,11.58278263,4.348852987,4.19147855576591e-05,0.00139716,1.737763532
Q06033,0.449373231,10.49197329,4.275210885,5.47679688922431e-05,0.001747914,1.484298987
P08697,0.22335922,13.10543772,4.212959015,6.85334618957962e-05,0.002141671,1.272085128
Q96MK3,0.538808106,10.45067823,4.174673609,7.85979049666973e-05,0.002406058,1.14252182
P01019,0.363553835,13.19531817,4.142667622,8.80915899230151e-05,0.002642748,1.034772419
Q99519,0.726908271,11.88535842,4.133141574,9.11243559256339e-05,0.002680128,1.002802568
P55103,0.531587898,13.6211602,4.096599389,0.000103718,0.00299186,0.880594308
Q01344,0.522583769,10.18416464,4.06928219,0.000114209,0.00323234,0.789685305
Q9Y625,0.197839712,9.845076123,3.953825763,0.000170945,0.004498564,0.409773803
O75356,0.412495437,12.07011841,3.912793615,0.000196981,0.004924537,0.276471053
Q86U17,0.508311623,13.83883712,3.854670456,0.000240444,0.005817191,0.089217335
Q9BXY4,0.407962335,9.342401936,3.833554927,0.000258397,0.006143445,0.021652435
O43251,0.358492024,8.380871086,3.82935163,0.00026212,0.006143445,0.008232496
P09603,0.70222923,6.742388958,3.814460644,0.000275729,0.006266561,-0.039230636
Q8IXL6,0.299494059,16.00897,3.802355994,0.000287286,0.006431767,-0.077720948
P00736,0.536410198,16.41539541,3.762637068,0.000328545,0.007142289,-0.203437346
P15428,0.235584854,10.04540687,3.640611834,0.000493633,0.010428873,-0.583991675
Q5VWP3,0.210647998,7.501668498,3.551537049,0.000661124,0.013401167,-0.85624642
Q92994,0.316518723,8.524696616,3.527652642,0.00071447,0.014289394,-0.928435932
P02741,1.201590346,15.43818245,3.498641463,0.000784755,0.015488581,-1.01565257
Q01344,0.684567329,10.24488679,3.391595641,0.001104893,0.020460981,-1.332955404
P09936,0.379947849,9.265752344,3.382361695,0.001137641,0.0208105,-1.359989562
Q9H4D0,0.38006859,9.178226047,3.306740589,0.001442395,0.024810844,-1.579336969
P01011,0.177016825,18.16624526,3.300193778,0.00147211,0.024810844,-1.598153654
P21695,0.872256917,12.67541144,3.289217063,0.001523226,0.025387105,-1.629640278
O60603,0.183356122,8.814634419,3.230661788,0.001825254,0.029272964,-1.796276463
P02748,0.30778164,16.38978877,3.214902417,0.001915648,0.029932004,-1.840739244
Q8NBM8,0.308231395,10.35215322,3.201617122,0.00199509,0.030270732,-1.878093944
P08236,0.710148483,11.70578542,3.186139216,0.002091529,0.03137294,-1.921465644
