,logFC,AveExpr,t,P.Value,adj.P.Val,B
P35443,1.165439862,14.2110324,8.907069855,1.98972607583423e-13,8.99139855458166e-11,20.22490035
P49746,1.548061765,12.65297995,8.864811094,2.39770628122177e-13,8.99139855458166e-11,20.04444491
P05154,0.848311672,15.93458223,7.067471804,6.51389568264939e-10,1.39583478913915e-07,12.39192276
Q6FHJ7,1.02774449,12.87496473,6.770237035,2.35947517670471e-09,3.21746615005187e-07,11.14753835
Q9UKZ9,0.726142455,13.64878953,6.490936933,7.82367873127664e-09,9.02732161301151e-07,9.989513741
P42892,0.61969131,10.30796292,6.456677011,9.0554853630141e-09,9.70230574608654e-07,9.848335608
Q14956,0.720169842,12.3344157,6.265289883,2.04195836472775e-08,1.80172796887743e-06,9.063571394
Q16674,0.754437494,11.0477983,6.069093352,4.66644487017565e-08,3.68403542382288e-06,8.266586401
P35968,0.544839401,12.67822238,5.863473039,1.10010190948072e-07,8.25076432110539e-06,7.440462697
P29323,0.586238654,10.64519162,5.636955111,2.79761819280288e-07,1.85709315548106e-05,6.542514677
P03952,0.372633526,16.10438294,5.477013053,5.36490637281578e-07,3.25846496816411e-05,5.916954966
Q8IUL8,0.99178294,10.29873831,5.473999011,5.43077494694019e-07,3.25846496816411e-05,5.90523823
P00747,0.338916947,13.23446006,5.264636435,1.2595095301783e-06,6.99727516765721e-05,5.098241973
Q04721,0.434536161,11.71002615,5.228770707,1.45283248842022e-06,7.46903862890816e-05,4.961408367
P48061,0.486738785,11.26251775,5.223471346,1.48376035767513e-06,7.46903862890816e-05,4.941226784
Q86UN2,0.660320048,10.77912768,5.197639394,1.64400224624349e-06,7.70626052926636e-05,4.842986134
P29373,1.15198882,13.23512144,5.112687965,2.29996881881938e-06,9.85700922351161e-05,4.521520272
Q8IUK8,0.61958856,10.72748821,5.04672179,2.98021357388031e-06,0.000120819,4.273643509
Q16651,0.3684368,11.86557485,5.008627212,3.45892327362239e-06,0.000136536,4.131212214
P06276,0.661389936,15.63393572,4.954381258,4.27258848522214e-06,0.00016433,3.929315166
P26992,0.463849285,9.454706298,4.930343584,4.69035512809594e-06,0.000172124,3.840201841
P33151,0.560885982,12.93871712,4.92369771,4.8127306090112e-06,0.000172124,3.815602612
P04179,0.418799957,13.90835461,4.921477366,4.85430609571707e-06,0.000172124,3.807387908
O95897,0.748383048,14.47802056,4.917261771,4.93420941415648e-06,0.000172124,3.791796455
Q8N428,0.708575777,10.80705851,4.904345446,5.18710643981562e-06,0.000172904,3.744067441
Q15113,0.554932707,11.9692113,4.861781081,6.11331822814733e-06,0.000197322,3.587236062
P46531,0.459123589,13.79572786,4.855684888,6.25853999130585e-06,0.000197322,3.564831771
Q03692,0.823164787,8.800499159,4.853380834,6.3142982930037e-06,0.000197322,3.556367856
Q6YHK3,0.491128667,9.740548146,4.82618229,7.01025624560236e-06,0.0002146,3.456611835
P00747,0.453492435,15.37251438,4.729053809,1.01606802010891e-05,0.00030482,3.102783592
Q6UX71,0.420980966,8.957217923,4.717114148,1.06323864081231e-05,0.000312717,3.059553204
Q9UQ52,0.766807204,10.61313602,4.691655139,1.17104897813882e-05,0.000332091,2.967569519
