,logFC,AveExpr,t,P.Value,adj.P.Val,B
P49746,1.592931097,12.65297995,11.06352585,1.65237657261631e-17,8.26188286308157e-15,29.43335632
P35443,1.139539945,14.2110324,10.56306388,1.41983098664645e-16,5.32436619992418e-14,27.33138341
Q6FHJ7,1.039958067,12.87496473,8.309021988,2.79189688407086e-12,4.59760154587122e-10,17.65731387
P05154,0.818064069,15.93458223,8.266303053,3.37157446697223e-12,4.59760154587122e-10,17.47269885
Q14956,0.704340141,12.3344157,7.431971604,1.3271813621211e-10,1.24423252698853e-08,13.88055933
Q16674,0.695803464,11.0477983,6.788948327,2.17654131008086e-09,1.81378442506738e-07,11.14912331
P42892,0.53428333,10.30796292,6.751816696,2.55445998703007e-09,2.016678937129e-07,10.99295877
Q9UKZ9,0.605047623,13.64878953,6.559798243,5.82813216301881e-09,4.16295154501344e-07,10.18876234
P29323,0.546028042,10.64519162,6.367961604,1.32114321290962e-08,8.62899926452221e-07,9.391541145
P35968,0.487836999,12.67822238,6.367611004,1.32311322056007e-08,8.62899926452221e-07,9.390090315
P00747,0.333443097,13.23446006,6.282206308,1.90085046216734e-08,1.05602803453741e-06,9.037384037
P29373,1.163695841,13.23512144,6.264059419,2.05261763083124e-08,1.0996165879453e-06,8.962626503
P48061,0.473123759,11.26251775,6.158194248,3.20911341318197e-08,1.60455670659098e-06,8.527859918
O00626,0.942527626,14.01262136,6.043302682,5.19899885250879e-08,2.51564460605264e-06,8.058760487
Q03692,0.831705301,8.800499159,5.947609125,7.75395693044306e-08,3.45729947434324e-06,7.670351605
P05546,0.40489596,12.66945698,5.897830272,9.5385965438749e-08,3.97441522661454e-06,7.469173164
Q15113,0.546116346,11.9692113,5.803040694,1.41288594957248e-07,5.57718137989136e-06,7.087799531
Q8IUK8,0.583250441,10.72748821,5.762041901,1.67347532558815e-07,6.27553247095556e-06,6.923564578
Q86UN2,0.602664378,10.77912768,5.753638177,1.7324695275485e-07,6.31707358277225e-06,6.889955419
Q16651,0.348651374,11.86557485,5.748604777,1.76878060317623e-07,6.31707358277225e-06,6.869834278
P26992,0.442408546,9.454706298,5.703470034,2.12976102266582e-07,7.4293989162761e-06,6.689712046
P03952,0.312570114,16.10438294,5.572173923,3.64484992206907e-07,1.24256247343264e-05,6.168954573
Q15063,0.619030818,12.81482722,5.559356484,3.840205383939e-07,1.25781414596508e-05,6.118381241
P04179,0.389973489,13.90835461,5.558265803,3.85729671429291e-07,1.25781414596508e-05,6.114079997
P33151,0.520725083,12.93871712,5.544222577,4.084157739851e-07,1.30345459782479e-05,6.058729951
Q8N428,0.656868611,10.80705851,5.514277574,4.61262854401496e-07,1.44144642000467e-05,5.940899584
Q9UQ52,0.740522343,10.61313602,5.495325568,4.9812597427441e-07,1.52487543145228e-05,5.866464034
Q8IUL8,0.818270549,10.29873831,5.477726761,5.34942443410917e-07,1.60482733023275e-05,5.797440449
P29460,0.51929758,7.955405396,5.423622519,6.65695071341298e-07,1.88404265473952e-05,5.585834586
O95897,0.67780506,14.47802056,5.40156438,7.27594972744432e-07,2.02109714651231e-05,5.499824538
Q04721,0.368456169,11.71002615,5.377431281,8.01800625704813e-07,2.14768024742361e-05,5.405899563
P46531,0.418652123,13.79572786,5.370188743,8.2548573850166e-07,2.17233089079384e-05,5.377748052
P55001,0.486019227,9.072405781,5.25322071,1.31813137379261e-06,3.24130665686708e-05,4.925458835
Q9UGM5,0.5048134,13.38906446,5.248860569,1.34122056597632e-06,3.24488846607174e-05,4.908686778
Q6UX71,0.383594128,8.957217923,5.213162214,1.54578596985551e-06,3.68044278537026e-05,4.771609009
Q6YHK3,0.432038812,9.740548146,5.149280657,1.99082966303619e-06,4.66600702274106e-05,4.52740494
P06276,0.559925282,15.63393572,5.087182085,2.5427536610432e-06,5.86789306394585e-05,4.29139345
P02452,0.530033757,10.88784926,5.07647257,2.65201526420205e-06,6.02730741864103e-05,4.250830779
P26992,0.610790067,11.88911093,5.045603435,2.99329592208678e-06,6.60285865166201e-05,4.134146351
P29460,0.485226348,9.87292112,5.040582024,3.05273120675914e-06,6.63637218860683e-05,4.115198563
Q86WK6,0.298892545,8.088554941,5.028776497,3.19704916322771e-06,6.85081963548795e-05,4.070688213
Q12860,0.498795933,14.7058986,5.007744955,3.47085659493702e-06,7.20483763982616e-05,3.991520985
Q01105,0.334402499,13.25199263,5.007676712,3.47178132127723e-06,7.20483763982616e-05,3.991264371
O15394,0.455130757,12.03290173,4.983257064,3.81861794664205e-06,7.74044178373388e-05,3.89955143
P00747,0.391417352,15.37251438,4.950620622,4.33546100207853e-06,8.67092200415706e-05,3.777330003
P02647,0.361725681,12.85177968,4.917367018,4.93219899895019e-06,9.50288018018392e-05,3.65321579
Q9UHX3,0.750879837,9.886266521,4.916880575,4.94149769369564e-06,9.50288018018392e-05,3.651403372
Q9H3U7,0.483644755,11.3938954,4.877517854,5.75347092399737e-06,0.000107878,3.505048804
P19235,0.267659065,8.247607189,4.810248689,7.45213788270069e-06,0.000138003,3.256350446
P02753,0.398409438,14.61975992,4.787470794,8.13130889453008e-06,0.000147531,3.17255064
Q8N475,0.193710313,8.413056116,4.760494139,9.01392739755482e-06,0.000159069,3.073576975
P51671,0.634123468,12.56624864,4.720657555,1.04902142581178e-05,0.00017881,2.927970295
Q92854,0.366834819,10.67105833,4.689358128,1.18128343903337e-05,0.000196023,2.814032166
P20023,0.753411379,12.86606077,4.68759261,1.18920891257069e-05,0.000196023,2.807617504
Q92859,0.402812875,11.66124287,4.67343335,1.25466937302786e-05,0.000204566,2.756220369
Q9NS98,0.517469484,10.00262264,4.669222084,1.27480605394678e-05,0.000205614,2.740950187
P06727,0.529527861,15.1164101,4.663206751,1.30411530077048e-05,0.000208104,2.719151494
P59901,0.451818404,10.78380671,4.625052053,1.5058760363046e-05,0.000233757,2.581245393
P23352,0.428877227,10.31253589,4.624137181,1.51106849501839e-05,0.000233757,2.577946384
Q07507,0.491517312,10.36626534,4.624038129,1.51163171929657e-05,0.000233757,2.577589226
Q7Z3B1,0.337660035,11.14899857,4.601650953,1.64430381093309e-05,0.000251679,2.496975709
