"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006935","chemotaxis","19/90","466/18805",0.0407725321888412,8.51919408679065,11.3979799427112,6.06736816907308e-13,8.76595213687587e-10,5.77955941363734e-10,"SAA1/THBS4/LBP/HGF/MDK/GPNMB/SERPIND1/KDR/NTN1/CCL22/CXCL12/NOTCH1/CCL7/IL6/CSF1/SMOC2/APOA1/SEMA3G/SEMA4D",19
"GO:0042330","taxis","19/90","468/18805",0.0405982905982906,8.48278727445394,11.3677272088884,6.54419719065014e-13,8.76595213687587e-10,5.77955941363734e-10,"SAA1/THBS4/LBP/HGF/MDK/GPNMB/SERPIND1/KDR/NTN1/CCL22/CXCL12/NOTCH1/CCL7/IL6/CSF1/SMOC2/APOA1/SEMA3G/SEMA4D",19
"GO:0048771","tissue remodeling","12/90","192/18805",0.0625,13.0590277777778,11.6467882992993,1.24256819649102e-10,1.10961339946648e-07,7.31589274986642e-08,"THBS4/MDK/GPNMB/SFRP1/AGT/TFRC/SPP1/IL6/NOTCH2/PLG/IL12B/RSPO3",12
"GO:0006953","acute-phase response","7/90","48/18805",0.145833333333333,30.4710648148148,14.1770613031114,2.84804484672244e-09,1.90747803609235e-06,1.25763664547375e-06,"SAA1/LBP/EPO/TFRC/CRP/IL6/SERPINF2",7
"GO:0007409","axonogenesis","15/90","459/18805",0.0326797385620915,6.8282498184459,8.76648042232272,4.44096331934197e-09,2.14698226057192e-06,1.41554634810305e-06,"CRABP2/NTN1/EPHB2/SPP1/CXCL12/ECE1/NOTCH1/UCHL1/AMIGO1/NOTCH2/CNTN1/CNTN6/NEO1/SEMA3G/SEMA4D",15
"GO:0060326","cell chemotaxis","13/90","325/18805",0.04,8.35777777777778,9.27873612798378,4.80847090833576e-09,2.14698226057192e-06,1.41554634810305e-06,"SAA1/THBS4/LBP/HGF/MDK/KDR/CCL22/CXCL12/NOTCH1/CCL7/IL6/CSF1/SMOC2",13
"GO:0034103","regulation of tissue remodeling","8/90","88/18805",0.0909090909090909,18.9949494949495,11.7334386861496,9.4286041623428e-09,3.27537089234332e-06,2.15951449179862e-06,"THBS4/MDK/GPNMB/SFRP1/TFRC/SPP1/IL6/IL12B",8
"GO:0022612","gland morphogenesis","9/90","127/18805",0.0708661417322835,14.8070866141732,10.8265524563144,9.78087612495204e-09,3.27537089234332e-06,2.15951449179862e-06,"HGF/FGL1/MDK/SFRP1/NTN1/NOTCH1/IL6/CSF1/NOTCH2",9
"GO:1903034","regulation of response to wounding","10/90","181/18805",0.0552486187845304,11.5438919582566,9.88451155239678,1.56433091066457e-08,4.65314030844105e-06,3.06790414237995e-06,"MDK/KLKB1/RTN4RL1/EPHB2/SPP1/SERPINF2/CD109/SMOC2/PLG/NEO1",10
"GO:0007411","axon guidance","11/90","238/18805",0.046218487394958,9.65709617180205,9.32054509904469,1.82973151867579e-08,4.65314030844105e-06,3.06790414237995e-06,"NTN1/EPHB2/CXCL12/ECE1/NOTCH1/NOTCH2/CNTN1/CNTN6/NEO1/SEMA3G/SEMA4D",11
