"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","13/61","298/9447",0.0436241610738255,6.75602376499065,8.13940221047111,3.97451755140908e-08,6.0412666781418e-06,4.68574700797702e-06,"3569/2056/6387/6356/6355/3594/608/1271/3596/2057/3570/659/9173",13
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","9/61","168/9447",0.0535714285714286,8.29654566744731,7.69254369252455,1.12660316143849e-06,8.56218402693255e-05,6.64102916216375e-05,"3569/2056/1956/3594/1271/1950/3596/2057/3570",9
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/61","100/9447",0.07,10.8408196721311,7.97524007884735,3.29340551676716e-06,0.000166865879516203,0.000129425058904534,"3569/2056/4254/3684/2057/1604/3570",7
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","6/61","80/9447",0.075,11.6151639344262,7.68634815617588,1.16897407804603e-05,0.00044421014965749,0.000344539728266197,"3569/3791/1956/3082/1950/3570",6
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","11/61","362/9447",0.0303867403314917,4.70595960510823,5.79616998826302,1.6772225642289e-05,0.000509875659525587,0.000395471425670815,"7060/7059/3569/3791/2056/1956/3082/4254/1950/2057/3570",11
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","6/61","88/9447",0.0681818181818182,10.5592399403875,7.26270807999007,2.02551340204287e-05,0.000513130061850861,0.000397995615840003,"5328/5340/3684/5104/1675/1604",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/61","110/9447",0.0545454545454545,8.44739195230999,6.33352497580237,7.17186809137265e-05,0.00155731992841235,0.00120789357328381,"3569/2056/2027/1956/1950/3570",6
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","7/61","184/9447",0.0380434782608696,5.89174982181041,5.40189241588772,0.000170299885504424,0.00323569782458405,0.00250968252322308,"2048/10507/6387/56920/1630/6092/659",7
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/61","50/9447",0.08,12.3895081967213,6.50944517277742,0.000290207398093978,0.00485673217206624,0.00376699448248905,"7060/7059/3569/3082",4
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","5/61","93/9447",0.0537634408602151,8.3262823902697,5.72367622995868,0.000319521853425411,0.00485673217206624,0.00376699448248905,"4853/4851/3594/3596/7535",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","5/61","100/9447",0.05,7.74344262295082,5.46505023644215,0.000447177792506645,0.00617918404191,0.00479271892447313,"3569/6387/6356/6355/3570",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","6/61","160/9447",0.0375,5.80758196721311,4.94421763427507,0.000552881581207342,0.00654277911617909,0.00507473172446023,"257194/1003/4685/3684/1272/4897",6
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","5/61","105/9447",0.0476190476190476,7.37470725995316,5.29521474103895,0.000559579792831106,0.00654277911617909,0.00507473172446023,"5328/6387/353376/7535/3929",5
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","6/61","203/9447",0.0295566502463054,4.57740450617782,4.15369604926262,0.00189937619389318,0.0206217986765545,0.0159947468959425,"7060/7059/3791/1956/3082/1950",6
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/61","41/9447",0.0731707317073171,11.3318672530988,5.34462048522326,0.00229339704375084,0.0224542355978194,0.017416027610497,"1956/1950/4313",3
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","6/61","212/9447",0.0283018867924528,4.38308072997216,4.01615490295007,0.00236360374713888,0.0224542355978194,0.017416027610497,"3791/1956/3082/4254/1950/3684",6
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/61","90/9447",0.0444444444444444,6.88306010928962,4.52069116583768,0.00265723607643216,0.0237588166833934,0.0184278910563716,"1956/1950/353376/7535",4
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/61","95/9447",0.0421052631578947,6.52079378774806,4.35973098792651,0.00323239329895251,0.027295765635599,0.0211712309638995,"3569/6356/6280/3596",4
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","4/61","99/9447",0.0404040404040404,6.25732737208147,4.23908260814301,0.00374970030854012,0.0287040487442111,0.0222635281118535,"4853/1956/4851/4313",4
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","6/61","233/9447",0.0257510729613734,3.9880391191163,3.7229632450145,0.00377684851897515,0.0287040487442111,0.0222635281118535,"7060/88/7059/7136/1158/2027",6
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/61","50/9447",0.06,9.29213114754098,4.73920138939241,0.00404678190864579,0.028951745152472,0.0224556472096736,"3569/6387/608",3
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","6/61","238/9447",0.0252100840336134,3.90425678468109,3.65818671155105,0.00419038416680516,0.028951745152472,0.0224556472096736,"3791/1956/3082/4254/1950/7535",6
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","4/61","109/9447",0.036697247706422,5.68326064069785,3.96445283933513,0.00528298284908192,0.034913625785237,0.0270798205536465,"3569/3594/3570/7535",4
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","4/61","116/9447",0.0344827586206897,5.34030525720746,3.79169842316721,0.00657611684788663,0.0416487400366153,0.0323037318843554,"6387/1003/3684/4313",4
