ENTREZID,stat
88,14.74912622
7136,14.07616998
10324,13.77161971
1158,12.77775241
761,9.859940178
4151,9.473551505
2027,9.367609377
6288,8.84621306
2819,8.424679761
9173,7.687207195
23543,7.560726034
3082,7.517540381
3569,7.455673874
1388,7.112756249
90523,6.923594988
6888,6.323241692
1991,6.15450883
170392,6.078947181
5657,5.998066169
2170,5.984219956
3312,5.943471303
57817,5.920311885
3929,5.803346273
2056,5.711931412
183,5.588449304
12,5.54093177
302,5.428611659
3939,5.335380516
231,5.334184134
4192,5.025257983
6280,5.011810553
4925,4.891536862
3606,4.889606995
51129,4.873000854
10082,4.862961019
4208,4.856453523
5654,4.824478857
6480,4.771138165
8048,4.744014744
5624,4.73232354
8985,4.699187858
95,4.661615912
5241,4.614209611
4317,4.553087544
1942,4.54208718
3162,4.532793224
6283,4.486212192
7005,4.472892619
98,4.407923182
3557,4.333416831
9423,4.304937422
7018,4.245133205
6422,4.241591737
3263,4.190260378
1114,4.142783179
3181,4.097332318
2267,4.070300916
4190,4.059766766
11244,4.001074549
2512,3.974848783
5320,3.963452675
9518,3.949360869
6688,3.943394648
78991,3.931980631
1634,3.909267965
5745,3.894043344
7360,3.885359782
4318,3.882813053
3099,3.877815814
4224,3.870300421
58191,3.861766437
653361,3.830576438
64092,3.80194614
3934,3.792236267
716,3.730526266
64093,3.680695615
3589,3.604553247
7345,3.569448108
2990,3.496125811
744,3.48819236
11168,3.453669464
2799,3.452289487
1264,3.4468363
78987,3.428556488
5580,3.42157517
64221,3.305730106
3309,3.285885767
2184,3.269577526
5271,3.218044577
1401,3.206175936
9584,3.190335107
9051,3.183319547
1644,3.181880408
256394,3.180424611
6184,3.159203389
902,3.158691922
462,3.132613808
51744,3.126729545
213,3.108493267
55163,3.100330561
2209,3.079425211
2495,3.059177987
3146,3.010598254
10923,2.99287842
6647,2.972119084
79068,2.954196757
23406,2.949322747
1509,2.936327508
6252,2.923272475
817,2.916820902
5176,2.913205903
1435,2.909688994
9622,2.894060197
727,2.880946558
5741,2.864214109
957,2.831070801
1906,2.827569894
2879,2.784046463
2219,2.782751121
7076,2.780211693
64581,2.772764629
4758,2.708567949
3484,2.704421901
319,2.686801287
112942,2.681923507
9510,2.661975462
4982,2.660311512
6364,2.657299344
63931,2.646502889
671,2.645119875
84870,2.616600504
3827,2.59734401
7518,2.587151042
3845,2.571250719
3248,2.564543184
7086,2.557802814
301,2.527858576
27329,2.520790712
959,2.505431494
5687,2.499893838
4314,2.492501047
3575,2.487527174
3626,2.465575383
6368,2.464406486
3485,2.460796601
2778,2.459040584
5443,2.452356763
56975,2.451503366
650,2.436190212
348,2.435446193
64084,2.411505419
5651,2.409999487
4209,2.405171083
3163,2.388553091
1719,2.38462373
4023,2.375504496
5720,2.368802757
596,2.357053607
64344,2.35588835
226,2.354895591
4001,2.337404634
3699,2.333717508
2591,2.333579724
23769,2.312996823
5345,2.311703868
5743,2.308483011
85480,2.303398311
5649,2.302756925
3576,2.300919607
6277,2.300614765
1992,2.300251122
93273,2.285589629
3568,2.264035714
7167,2.251343108
566,2.235036397
29763,2.229973157
55193,2.201757401
5617,2.191808473
51733,2.179960553
9938,2.155204626
841,2.138994233
29110,2.136419028
3945,2.133485794
9984,2.121176731
659,2.118350937
10468,2.111763198
5531,2.110705518
8404,2.109779773
6354,2.094429079
6696,2.092206954
10549,2.090668524
4598,2.068390919
121793,2.067516878
7133,2.066146968
629,2.050909648
10174,2.039853319
56955,2.035330014
9532,2.032163764
10913,2.030354399
10327,2.02263567
5037,1.989175391
23604,1.984988481
10614,1.983983057
5993,1.96843228
2810,1.962342135
5445,1.958049312
1387,1.953076897
80237,1.943723384
142,1.910092203
11337,1.909072786
9904,1.906777069
1050,1.90325878
3551,1.883985515
3831,1.881037379
392,1.879501644
8200,1.866325053
116844,1.864338287
4811,1.847528429
3603,1.836220388
29106,1.815191225
605,1.81472232
2186,1.813734661
759,1.812918989
23269,1.807305403
2303,1.799098035
7332,1.798146547
2147,1.786839402
54658,1.784870317
597,1.784011448
3458,1.777054075
6908,1.765358778
2944,1.762615211
7409,1.754161919
1490,1.746905523
8939,1.744599179
5645,1.743953057
3190,1.73919222
914,1.737793689
199,1.734727338
383,1.734643387
284069,1.721611292
133,1.718639933
5592,1.716008892
55997,1.712814207
3621,1.709353041
5994,1.690192523
1728,1.686453751
149233,1.681219301
4353,1.680479836
158,1.674738227
9588,1.667322909
59286,1.665834403
9450,1.664810701
54757,1.65923594
6347,1.654470268
8761,1.65309691
6135,1.651622408
3586,1.650948449
3145,1.637379254
7424,1.632018363
6649,1.623112839
2252,1.622311447
708,1.620686385
7097,1.618542066
53353,1.616648799
9181,1.613138586
917,1.612933075
55735,1.612611624
4360,1.604263963
7917,1.598163583
466,1.596456506
131118,1.575664238
5607,1.575447554
5265,1.571510534
30835,1.566589005
4846,1.565667827
