MoleculeType	Identifier	MoleculeName	
Proteins	P19838	UniProt:P19838 NFKB1	
Proteins	P41279	UniProt:P41279 MAP3K8	
Proteins	Q8NFZ5	UniProt:Q8NFZ5 TNIP2	
Proteins	O14920	UniProt:O14920 IKBKB	
Proteins	O15111	UniProt:O15111 CHUK	
Proteins	Q9Y6K9	UniProt:Q9Y6K9 IKBKG	
Proteins	P0CG48	UniProt:P0CG48 UBC	
Proteins	P0CG47	UniProt:P0CG47 UBB	
Proteins	P62987	UniProt:P62987 UBA52	
Proteins	P62979	UniProt:P62979 RPS27A	
Proteins	P45985	UniProt:P45985 MAP2K4	
Proteins	Q02750	UniProt:Q02750 MAP2K1	
Proteins	P63208	UniProt:P63208 SKP1	
Proteins	Q13616	UniProt:Q13616 CUL1	
Proteins	Q9UKB1	UniProt:Q9UKB1 FBXW11	
Proteins	Q9Y297	UniProt:Q9Y297 BTRC	
Proteins	Q14738	UniProt:Q14738 PPP2R5D	
Proteins	P62714	UniProt:P62714 PPP2CB	
Proteins	P67775	UniProt:P67775 PPP2CA	
Proteins	P30153	UniProt:P30153 PPP2R1A	
Proteins	P30154	UniProt:P30154 PPP2R1B	
Proteins	P28482	UniProt:P28482 MAPK1	
Proteins	Q13164	UniProt:Q13164 MAPK7	
Proteins	P27361	UniProt:P27361 MAPK3	
Proteins	O75582	UniProt:O75582 RPS6KA5	
Proteins	P19419	UniProt:P19419 ELK1	
Proteins	Q15349	UniProt:Q15349 RPS6KA2	
Proteins	Q15418	UniProt:Q15418 RPS6KA1	
Proteins	P51812	UniProt:P51812 RPS6KA3	
Proteins	Q06413	UniProt:Q06413 MEF2C	
Proteins	Q02078	UniProt:Q02078 MEF2A	
Proteins	Q13115	UniProt:Q13115 DUSP4	
Proteins	P51452	UniProt:P51452 DUSP3	
Proteins	Q16828	UniProt:Q16828 DUSP6	
Proteins	Q16829	UniProt:Q16829 DUSP7	
Proteins	Q8IV63	UniProt:Q8IV63 VRK3	
Proteins	Q16539	UniProt:Q16539 MAPK14	
Proteins	Q15759	UniProt:Q15759 MAPK11	
Proteins	P16220-1	UniProt:P16220-1 CREB1	
Proteins	P18846	UniProt:P18846 ATF1	
Proteins	P49137	UniProt:P49137 MAPKAPK2	
Proteins	P05412	UniProt:P05412 JUN	
Proteins	P01100	UniProt:P01100 FOS	
Proteins	P53779	UniProt:P53779 MAPK10	
Proteins	P45984	UniProt:P45984 MAPK9	
Proteins	P45983	UniProt:P45983 MAPK8	
Proteins	P15336	UniProt:P15336 ATF2	
Proteins	Q16644	UniProt:Q16644 MAPKAPK3	
Proteins	P46734	UniProt:P46734 MAP2K3	
Proteins	P52564	UniProt:P52564 MAP2K6	
Proteins	Q15750	UniProt:Q15750 TAB1	
Proteins	Q9NYJ8	UniProt:Q9NYJ8 TAB2	
Proteins	Q8N5C8	UniProt:Q8N5C8 TAB3	
Proteins	O43318	UniProt:O43318 MAP3K7	
Proteins	Q9HC29	UniProt:Q9HC29 NOD2	
Proteins	Q9Y239	UniProt:Q9Y239 NOD1	
Proteins	O43353	UniProt:O43353 RIPK2	
Proteins	Q9Y4K3	UniProt:Q9Y4K3 TRAF6	
Proteins	O43187	UniProt:O43187 IRAK2	
Proteins	P51617	UniProt:P51617 IRAK1	
Proteins	P61088	UniProt:P61088 UBE2N	
Proteins	Q13404	UniProt:Q13404 UBE2V1	
Proteins	O14733	UniProt:O14733 MAP2K7	
Proteins	Q96F46	UniProt:Q96F46 IL17RA	
Proteins	Q9H293	UniProt:Q9H293 IL25	
Proteins	Q9NRM6	UniProt:Q9NRM6 IL17RB	
Proteins	Q9P0M4	UniProt:Q9P0M4 IL17C	
Proteins	Q8NFR9	UniProt:Q8NFR9 IL17RE	
Proteins	Q16552	UniProt:Q16552 IL17A	
Proteins	Q96PD4	UniProt:Q96PD4 IL17F	
Proteins	Q8NAC3	UniProt:Q8NAC3 IL17RC	
Proteins	P0DTC8	UniProt:P0DTC8 8	
Proteins	O75462	UniProt:O75462 CRLF1	
Proteins	Q8NEV9	UniProt:Q8NEV9 IL27	
Proteins	P40189	UniProt:P40189 IL6ST	
Proteins	P29597	UniProt:P29597 TYK2	
Proteins	P23458	UniProt:P23458 JAK1	
Proteins	O60674	UniProt:O60674 JAK2	
Proteins	Q6UWB1	UniProt:Q6UWB1 IL27RA	
Proteins	Q14213	UniProt:Q14213 EBI3	
Proteins	P42224	UniProt:P42224 STAT1	
Proteins	P40763	UniProt:P40763 STAT3	
Proteins	P27824	UniProt:P27824 CANX	
Proteins	P42701	UniProt:P42701 IL12RB1	
Proteins	Q9H3K6	UniProt:Q9H3K6 BOLA2	
Proteins	Q14765	UniProt:Q14765 STAT4	
Proteins	P26038	UniProt:P26038 MSN	
Proteins	P14174	UniProt:P14174 MIF	
Proteins	P04179	UniProt:P04179 SOD2	
Proteins	P52597	UniProt:P52597 HNRNPF	
Proteins	Q53EL6	UniProt:Q53EL6 PDCD4	
Proteins	Q00169	UniProt:Q00169 PITPNA	
Proteins	P11233	UniProt:P11233 RALA	
Proteins	P20700	UniProt:P20700 LMNB1	
Proteins	P13796	UniProt:P13796 LCP1	
Proteins	O14979	UniProt:O14979 HNRNPDL	
Proteins	P84077	UniProt:P84077 ARF1	
Proteins	Q13126	UniProt:Q13126 MTAP	
Proteins	P01579	UniProt:P01579 IFNG	
Proteins	P00915	UniProt:P00915 CA1	
Proteins	P78417	UniProt:P78417 GSTO1	
Proteins	P37837	UniProt:P37837 TALDO1	
Proteins	P09661	UniProt:P09661 SNRPA1	
Proteins	P07355	UniProt:P07355 ANXA2	
Proteins	P22301	UniProt:P22301 IL10	
Proteins	P61224	UniProt:P61224 RAP1B	
Proteins	P22626	UniProt:P22626 HNRNPA2B1	
Proteins	P52907	UniProt:P52907 CAPZA1	
Proteins	Q99439	UniProt:Q99439 CNN2	
Proteins	P60953	UniProt:P60953 CDC42	
Proteins	Q13177	UniProt:Q13177 PAK2	
Proteins	P05120	UniProt:P05120 SERPINB2	
Proteins	P62937	UniProt:P62937 PPIA	
Proteins	O00170	UniProt:O00170 AIP	
Proteins	P09210	UniProt:P09210 GSTA2	
Proteins	P17987	UniProt:P17987 TCP1	
Proteins	P05388	UniProt:P05388 RPLP0	
Proteins	P00441	UniProt:P00441 SOD1	
Proteins	Q9UL46	UniProt:Q9UL46 PSME2	
Proteins	P23528	UniProt:P23528 CFL1	
Proteins	P38646	UniProt:P38646 HSPA9	
Proteins	P29460	UniProt:P29460 IL12B	
Proteins	P29459	UniProt:P29459 IL12A	
Proteins	P51809	UniProt:P51809 VAMP7	
Proteins	Q99665	UniProt:Q99665 IL12RB2	
Proteins	P07237	UniProt:P07237 P4HB	
Proteins	Q9NPF7	UniProt:Q9NPF7 IL23A	
Proteins	Q5VWK5	UniProt:Q5VWK5 IL23R	
Proteins	P05113	UniProt:P05113 IL5	
Proteins	Q01344	UniProt:Q01344 IL5RA	
Proteins	P22681	UniProt:P22681 CBL	
Proteins	P43405	UniProt:P43405 SYK	
Proteins	P07947	UniProt:P07947 YES1	
Proteins	P08631	UniProt:P08631 HCK	
Proteins	P07948	UniProt:P07948 LYN	
Proteins	P06241	UniProt:P06241 FYN	
Proteins	P62993-1	UniProt:P62993-1 GRB2	
Proteins	P42338	UniProt:P42338 PIK3CB	
Proteins	Q92569	UniProt:Q92569 PIK3R3	
Proteins	O00459	UniProt:O00459 PIK3R2	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	O00329	UniProt:O00329 PIK3CD	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	P46109	UniProt:P46109 CRKL	
Proteins	P46108	UniProt:P46108 CRK	
Proteins	Q13905	UniProt:Q13905 RAPGEF1	
Proteins	Q8WV28	UniProt:Q8WV28 BLNK	
Proteins	P15498	UniProt:P15498 VAV1	
Proteins	P32927	UniProt:P32927 CSF2RB	
Proteins	P08700	UniProt:P08700 IL3	
Proteins	P26951	UniProt:P26951 IL3RA	
Proteins	P15509	UniProt:P15509 CSF2RA	
Proteins	P04141	UniProt:P04141 CSF2	
Proteins	P29350	UniProt:P29350 PTPN6	
Proteins	Q06124	UniProt:Q06124 PTPN11	
Proteins	P63104	UniProt:P63104 YWHAZ	
Proteins	P29353	UniProt:P29353 SHC1	
Proteins	P51692	UniProt:P51692 STAT5B	
Proteins	P42229	UniProt:P42229 STAT5A	
Proteins	P42680	UniProt:P42680 TEC	
Proteins	P17612	UniProt:P17612 PRKACA	
Proteins	Q9UQC2	UniProt:Q9UQC2 GAB2	
Proteins	P52333	UniProt:P52333 JAK3	
Proteins	P31785	UniProt:P31785 IL2RG	
Proteins	P01589	UniProt:P01589 IL2RA	
Proteins	P14784	UniProt:P14784 IL2RB	
Proteins	P60568	UniProt:P60568 IL2	
Proteins	Q07889	UniProt:Q07889 SOS1	
Proteins	Q92835	UniProt:Q92835 INPP5D	
Proteins	O15357	UniProt:O15357 INPPL1	
Proteins	P07333	UniProt:P07333 CSF1R	
Proteins	P09603	UniProt:P09603 CSF1	
Proteins	Q6ZMJ4	UniProt:Q6ZMJ4 IL34	
Proteins	P24158	UniProt:P24158 PRTN3	
Proteins	P24001	UniProt:P24001 IL32	
Proteins	P40222	UniProt:P40222 TXLNA	
Proteins	Q13277	UniProt:Q13277 STX3	
Proteins	P23471	UniProt:P23471 PTPRZ1	
Proteins	Q14005	UniProt:Q14005 IL16	
Proteins	Q8IU54	UniProt:Q8IU54 IFNL1	
Proteins	Q8IU57	UniProt:Q8IU57 IFNLR1	
Proteins	Q08334	UniProt:Q08334 IL10RB	
Proteins	Q12846	UniProt:Q12846 STX4	
Proteins	Q99062	UniProt:Q99062 CSF3R	
Proteins	P09919	UniProt:P09919 CSF3	
Proteins	P42574	UniProt:P42574 CASP3	
Proteins	P01730	UniProt:P01730 CD4	
Proteins	P18827	UniProt:P18827 SDC1	
Proteins	Q16623	UniProt:Q16623 STX1A	
Proteins	P63027	UniProt:P63027 VAMP2	
Proteins	P60880	UniProt:P60880 SNAP25	
Proteins	Q15833	UniProt:Q15833 STXBP2	
Proteins	Q9NZN1	UniProt:Q9NZN1 IL1RAPL1	
Proteins	Q8WWZ1	UniProt:Q8WWZ1 IL1F10	
Proteins	Q9HB29	UniProt:Q9HB29 IL1RL2	
Proteins	Q13478	UniProt:Q13478 IL18R1	
Proteins	Q14116	UniProt:Q14116 IL18	
Proteins	O95998	UniProt:O95998 IL18BP	
Proteins	Q14116-2	UniProt:Q14116-2 IL18	
