SeqId,UniProtID
8795-48,P02786
21115-48,Q7Z5W3
14042-11,Q8N474
19570-12,P55075
6647-55,P0CG48
9388-18,Q96PE7
9842-2,P35222
4500-50,Q9Y240
7241-12,P20963
2480-58,P35625
9456-34,Q969J5
4969-2,P00915
3175-51,Q76LX8
9237-54,P11117
3554-24,Q15848
8485-7,Q14145
3083-71,Q9HAV5
4145-58,P20783
3736-60,P22004
18839-24,P01266
12509-115,Q8N668
22584-2,O75581
13599-15,Q7Z6M1
5837-49,P42702
3290-50,Q6YHK3
4250-23,Q9UNZ2
22545-20,Q86SE5
11154-3,Q14494
3474-19,P07996
2686-67,P24592
6558-5,Q9Y6Z7
11279-42,Q9UBS5
13718-1,Q16552
3359-11,P49336
3860-7,P60900
5803-24,P01024
23308-31,Q719H9
3446-7,Q13478
21942-14,Q9UBV4
5424-55,Q9Y6Q6
6064-4,Q9BS26
3807-1,Q9GZV9
11285-8,P28906
3197-70,P14735
22774-20,Q9BSV6
3758-68,P04070
11816-84,O60674
2742-68,Q9Y286
21196-29,Q9NSI8
9296-15,P23468
17398-55,P09601
12352-70,Q96B67
11311-79,P15918
3795-6,Q13443
26782-45,P08631
7247-1,Q5T7V8
19202-10,Q06187
2973-15,P16671
19622-7,P08476
4342-10,P05362
31669-124,P49368
4284-18,Q14498
5117-14,Q96MS0
13639-101,O60763
18417-3,Q9HBK9
9845-33,Q99497
3484-60,P01019
3187-52,P54108
24427-33,O15327
9169-14,P55854
20546-71,Q86UN2
4374-45,Q99988
5801-72,P01138
17466-72,Q96CM8
10550-37,O00238
17696-1,Q86XR7
20581-42,P43220
12799-65,Q9NZQ0
15562-24,P08236
4157-2,P00734
4811-33,Q14624
15523-9,P13716
9826-135,P49789
2877-3,P63279
9057-19,Q16186
8006-12,Q9NXW2
4697-59,P04141
15365-41,O60242
5939-42,O43508
12430-78,Q9H074
17685-9,P06727
8243-55,P00995
6918-183,P06307
3472-40,O15392
2975-19,P29279
2615-60,P52803
5903-91,P11142
13377-3,Q8N8Q1
5988-49,O43557
5526-53,Q9Y5U5
4718-5,P23284
19168-71,O43586
11530-37,P08397
3074-6,P18428
29279-2,Q7L2Z9
7924-7,P09693
5092-51,P78504
18930-28,O94813
12433-8,Q969Q4
7789-182,Q13162
9283-8,P16070
20203-45,P09871
5618-50,P58499
4763-31,P43652
6556-5,Q9UJA9
2654-19,P19438
4192-10,P14550
15627-83,P31749
3873-51,P07202
5015-15,Q13093
4960-72,P04083
8427-118,Q9BXY4
20090-63,Q969T4
33157-70,P22830
8034-6,A6NNA5
21667-57,Q01064
5915-58,P50542
18874-66,P49715
19154-41,P07093
17821-20,O60551
23666-35,P31939
4240-31,P14618
14086-11,Q92484
19557-3,Q86Z14
19236-24,P53999
9196-8,P47929
3427-63,P68400
3196-6,P10915
20536-11,Q96AP7
24414-3,P11216
21319-196,Q6IN84
35768-8,P32970
2752-62,P43026
24417-22,Q15276
9409-11,Q15661
18188-12,P50440
8463-2,P08294
6603-18,P23352
7124-18,Q9HBE4
33753-14,P36969
8299-66,P59901
12432-23,Q9HB71
19130-81,P50452
3052-8,P48023
9294-45,P55001
25913-17,P02794
2603-61,P33681
3394-81,P53350
25225-14,Q9BXU8
10344-334,Q13651
5757-45,O95467
15669-7,P15056
2985-35,P09341
12041-33,P34931
28472-26,O60488
7957-2,Q8WXD2
18942-11,P28065
3323-37,Q14114
8837-8,O75121
23596-17,Q8N998
3437-80,P36888
12685-57,Q9NSB8
12775-6,O15347
10916-44,Q13018
25286-33,Q5R372
22057-9,P30837
31183-95,Q8NEV9
10056-5,Q08050
23693-4,Q9BUB5
11568-2,P68106
22966-20,O95166
3887-90,Q14974
13112-179,Q12841
3174-2,Q9UHI8
4785-30,P08185
4990-87,P07359
12504-26,P29536
3396-54,P00797
19640-2,P01270
16536-3,P17096
3189-61,P98073
11180-17,Q92922
11540-37,O43524
2644-11,P17252
11424-4,P16930
16607-78,P06396
9459-7,P25445
19207-119,P55263
22839-23,O14978
4588-1,P01298
14623-26,P55854
7100-31,P06729
3292-75,P09326
11351-233,Q9H9Q4
4979-34,Q07507
2946-52,P00746
21395-23,O14917
12751-26,Q9UKY1
15513-108,Q16651
5509-7,P01133
9877-28,P46109
18819-21,P45877
9855-10,P61586
9504-19,P51159
3311-27,O75015
23967-8,Q9BTK6
4141-79,P02778
8081-55,Q8N7P1
2642-4,P68402
13697-51,P21695
3853-56,P40925
14148-2,P05161
5864-10,P04075
12699-28,P50990
6645-53,Q15063
22547-17,P29558
23418-66,Q53HC0
9808-41,Q9UPQ9
12853-112,Q9NZR1
21661-82,Q8IXL6
3447-64,P10145
9282-12,P16562
22091-14,Q9UBR1
3831-21,P60484
3459-49,P09619
3423-59,P23946
3054-3,P00738
17772-7,O15205
6227-1,O43240
20517-1,Q14126
18817-50,P83916
6433-57,Q96MK3
7145-1,Q06033
9201-13,P37802
20241-9,O00161
18302-204,Q9H900
23929-159,Q7Z6L0
8957-72,Q96DZ1
2677-1,P00533
13103-125,P0DML2
24277-22,Q9UBL6
25967-34,P01033
24685-12,Q9Y5W9
2666-53,P07585
13653-335,Q9BQ69
20970-14,Q9H9R9
19119-10,P35638
18434-141,P62380
19572-10,P53567
14060-67,Q15080
14674-63,Q9UKS6
6455-52,Q86UW8
9259-35,O75509
10351-51,P10914
10479-18,P09238
9522-3,O95831
6375-75,Q8NBI6
10800-15,P50454
13129-40,P01130
20141-42,Q15560
15693-9,P06401
17804-102,Q9NVS9
5740-17,Q9Y6N7
15570-99,P20023
13723-6,P22301
5060-62,Q9NZQ7
12398-15,O43316
6416-8,Q86XP6
3808-76,P21802
2888-49,P10643
11237-49,Q15113
3855-56,Q06830
19575-4,P19235
18896-23,Q8IZP7
5364-7,Q01105
9769-48,Q8NFT8
8644-46,P09668
14132-21,Q9UM44
17794-6,O15305
3858-5,P24666
14093-10,P49771
2697-7,P02776
20386-15,Q6GMV3
5109-24,Q92823
3470-1,P16581
3294-55,P0CG37
5400-52,P48357
18884-22,Q9UDY4
8841-65,Q8IUL8
15666-21,P12643
10047-7,P19878
18405-117,P56377
25287-7,Q04637
8494-1,P01024
5013-2,O00299
23303-131,O14530
15414-316,P00338
7863-50,O00264
13614-6,Q92793
13665-35,Q06190
20434-23,A6NKN8
6504-65,Q9Y4K0
22129-55,Q9HB65
2844-53,P35590
3616-3,P15586
21713-11,P78509
4970-50,P00918
21513-1,P55210
2640-3,Q04912
10612-18,O60568
3413-50,Q16548
5888-29,P63241
8235-48,P05060
2762-30,O95750
15460-9,P27487
3073-51,O95998
15594-47,Q92743
4131-72,P02751
5035-7,P04818
9213-24,O95954
2948-58,P10912
2774-10,Q14005
14713-46,P20160
25922-7,O75197
21478-20,Q99717
3773-15,Q02763
9971-5,Q7Z408
9226-6,Q71RG4
22113-2,Q9Y2Z9
8933-84,Q06413
14047-78,P23560
5481-16,P20936
13621-31,O94973
2876-74,P11387
13991-47,O43432
13236-25,P56704
3028-36,P55773
7870-8,Q96KN2
7955-195,P19827
16851-50,O43819
30509-9,P22102
10387-1,P16860
4203-50,P23528
5737-61,Q92854
19333-4,P61978
9886-28,Q13426
10600-24,O14967
5412-53,P26842
20561-15,Q9UQ52
5451-1,Q13740
11354-21,Q9NQ66
3056-11,P26718
10557-6,Q8N6K0
5111-15,Q9HDB5
11587-5,Q8IWI9
21649-12,P56962
2658-27,Q16288
35554-7,P13500
10039-32,P00491
4328-2,Q9BWV1
4886-3,P80098
24422-36,Q86W54
4437-56,O75356
10666-7,Q9UJJ9
13501-10,Q8TBE7
2597-8,P15692
2693-20,P13725
3592-4,Q14012
15545-13,P63098
5301-7,P51671
23553-1,Q9P2A4
3285-23,P00736
8040-9,Q68G75
6081-52,Q9UKZ9
2474-54,P02743
11696-7,P29373
24221-3,P37231
9216-100,O15031
3651-50,P35968
10854-15,Q9P109
10086-39,P35520
11071-1,P05113
14096-1,P01374
12688-115,Q9UK32
14094-29,Q99075
24463-1,Q9UN36
13098-93,O43915
13730-18,P53634
21339-19,Q8TD30
6423-66,Q7Z5L3
13733-5,P29460
10677-9,O95168
5019-16,P09936
3835-11,O60603
14688-6,P35236
2475-1,P10721
5358-3,Q99983
18261-34,Q8N6N6
3022-4,P16410
